ID	group	activityId	pickUpId	Image	type	openDay	startTime	endTime	url	offplatformtype
1	1	159	0	Lobby_Banner_1	0		1696089600	1733068799		
2	0	163	0	Lobby_Banner_2	0		0	0		
3	0	999	0	Lobby_Banner_3	0		1744819200	1907683199		
4	1	175	0	lobby_BannerB001	1	4,5,6	0	0		
5	0	179	0	Lobby_Banner_179	0		0	0		
6	1	191	0		0		1750867200	1751299199		
7	0	147	0	Lobby_Banner_147	0		1741924800	1742788800		
8	0	147	0	Lobby_Banner_147	0		1741924800	1742788800		
9	0	197	209	Lobby_Banner_009	0		1753070400	1753286399		
10	0	197	214	Lobby_Banner_014	0		1753675200	1753891199		
11	0	197	119	Lobby_Banner_019	0		1754280000	1754495999		
12	0	197	124	Lobby_Banner_024	0		1754884800	1755100799		
13	0	197	120	Lobby_Banner_020	0		1749700800	1750003199		
14	0	197	123	Lobby_Banner_023	0		1751947200	1752163199		
15	0	197	203	Lobby_Banner_003	0		1752465600	1752681599		
16	1	195	0		0		1746979200	1750867199		
17	1	195	0		0		1750996800	1752854399		
18	1	196	0		0		1751299200	1752076799		
19	0	998		Lobby_Banner_026	0		0	0	https://qm.qq.com/q/mtoj1FFxte	2,7,8
20	0	998		Lobby_Banner_025	0		0	0	https://discord.gg/UVahbnu3ht	2,7,8
21	0	998		Lobby_Banner_025	0		0	0	https://discord.com/invite/7JX5P32Q6B?r=download	1,2,6,7,9,10
22	0	998		Lobby_Banner_028	0		0	0	https://www.op-18.com	1,2,6,7,9,10
23	0	9999		Lobby_Banner_027	0		1745769600	1746287999		
24	0	997		Lobby_Banner_029	0		1750305600	1750867199		
25	0	997		Lobby_Banner_030	0		1750910400	1751471999		
26	0	997	0	Lobby_Banner_033	0		1751518800	1751731199		
27	0	997	0	Lobby_Banner_034	0		1751731200	1751903999		
28	0	997	0	Lobby_Banner_035	0		1751904000	1752119999		
29	0	997	0	Lobby_Banner_038	0		1752120000	1752335999		
30	0	997	0	Lobby_Banner_037	0		1752336000	1752508799		
31	0	997	0	Lobby_Banner_036	0		1752508800	1752681599		
