id	RechargeId	passStage	freeReward	costReward
1	9001	10	30000_7182_50	10000_1001_500
2	9001	20	30000_7182_50	30000_7232_1,10000_1001_300
3	9001	30	30000_7182_50	30000_7232_2,10000_1001_300
4	9001	40	30000_7182_50	30000_7232_2,10000_1001_300
5	9001	45	30000_7182_50	30000_7232_2,10000_1001_300
6	9001	50	30000_7182_50	30000_7232_3,10000_1001_300
7	9002	60	30000_7182_50	10000_1001_600
8	9002	70	30000_7182_50	30000_7233_1,10000_1001_300
9	9002	80	30000_7182_50	30000_7233_2,10000_1001_300
10	9002	90	30000_7182_50	30000_7233_2,10000_1001_300
11	9002	95	30000_7182_50	30000_7233_2,10000_1001_500
12	9002	100	30000_7182_50	30000_7233_3,10000_1001_500
