id	month	days	awards
1	1	1	10000_1001_100
2	1	2	30000_7001_5000
3	1	3	10000_1026_60
4	1	4	30000_7029_1
5	1	5	30000_6004_1
6	1	6	10000_1001_100
7	1	7	30000_7001_5000
8	1	8	10000_1026_60
9	1	9	30000_7029_1
10	1	10	30000_6004_1
11	1	11	10000_1001_150
12	1	12	30000_7001_7500
13	1	13	10000_1026_90
14	1	14	30000_7030_1
15	1	15	30000_6004_2
16	1	16	10000_1001_150
17	1	17	30000_7001_7500
18	1	18	10000_1026_90
19	1	19	30000_7030_1
20	1	20	30000_6004_2
21	1	21	10000_1001_200
22	1	22	30000_7001_10000
23	1	23	10000_1026_120
24	1	24	30000_7031_1
25	1	25	30000_6003_1
26	1	26	10000_1001_200
27	1	27	30000_7001_10000
28	1	28	10000_1026_120
29	1	29	30000_7031_1
30	1	30	30000_6003_2
31	1	31	10000_1001_200
32	2	1	10000_1001_100
33	2	2	30000_7001_5000
34	2	3	10000_1026_60
35	2	4	30000_7029_1
36	2	5	30000_6004_1
37	2	6	10000_1001_100
38	2	7	30000_7001_5000
39	2	8	10000_1026_60
40	2	9	30000_7029_1
41	2	10	30000_6004_1
42	2	11	10000_1001_150
43	2	12	30000_7001_7500
44	2	13	10000_1026_90
45	2	14	30000_7030_1
46	2	15	30000_6004_2
47	2	16	10000_1001_150
48	2	17	30000_7001_7500
49	2	18	10000_1026_90
50	2	19	30000_7030_1
51	2	20	30000_6004_2
52	2	21	10000_1001_200
53	2	22	30000_7001_10000
54	2	23	10000_1026_120
55	2	24	30000_7031_1
56	2	25	30000_6003_1
57	2	26	10000_1001_200
58	2	27	30000_7001_10000
59	2	28	10000_1026_120
60	3	1	10000_1001_100
61	3	2	30000_7001_5000
62	3	3	10000_1026_60
63	3	4	30000_7029_1
64	3	5	30000_6004_1
65	3	6	10000_1001_100
66	3	7	30000_7001_5000
67	3	8	10000_1026_60
68	3	9	30000_7029_1
69	3	10	30000_6004_1
70	3	11	10000_1001_150
71	3	12	30000_7001_7500
72	3	13	10000_1026_90
73	3	14	30000_7030_1
74	3	15	30000_6004_2
75	3	16	10000_1001_150
76	3	17	30000_7001_7500
77	3	18	10000_1026_90
78	3	19	30000_7030_1
79	3	20	30000_6004_2
80	3	21	10000_1001_200
81	3	22	30000_7001_10000
82	3	23	10000_1026_120
83	3	24	30000_7031_1
84	3	25	30000_6003_1
85	3	26	10000_1001_200
86	3	27	30000_7001_10000
87	3	28	10000_1026_120
88	3	29	30000_7031_1
89	3	30	30000_6003_2
90	3	31	10000_1001_200
91	4	1	10000_1001_100
92	4	2	30000_7001_5000
93	4	3	10000_1026_60
94	4	4	30000_7029_1
95	4	5	30000_6004_1
96	4	6	10000_1001_100
97	4	7	30000_7001_5000
98	4	8	10000_1026_60
99	4	9	30000_7029_1
100	4	10	30000_6004_1
101	4	11	10000_1001_150
102	4	12	30000_7001_7500
103	4	13	10000_1026_90
104	4	14	30000_7030_1
105	4	15	30000_6004_2
106	4	16	10000_1001_150
107	4	17	30000_7001_7500
108	4	18	10000_1026_90
109	4	19	30000_7030_1
110	4	20	30000_6004_2
111	4	21	10000_1001_200
112	4	22	30000_7001_10000
113	4	23	10000_1026_120
114	4	24	30000_7031_1
115	4	25	30000_6003_1
116	4	26	10000_1001_200
117	4	27	30000_7001_10000
118	4	28	10000_1026_120
119	4	29	30000_7031_1
120	4	30	30000_6003_2
121	5	1	10000_1001_100
122	5	2	30000_7001_5000
123	5	3	10000_1026_60
124	5	4	30000_7029_1
125	5	5	30000_6004_1
126	5	6	10000_1001_100
127	5	7	30000_7001_5000
128	5	8	10000_1026_60
129	5	9	30000_7029_1
130	5	10	30000_6004_1
131	5	11	10000_1001_150
132	5	12	30000_7001_7500
133	5	13	10000_1026_90
134	5	14	30000_7030_1
135	5	15	30000_6004_2
136	5	16	10000_1001_150
137	5	17	30000_7001_7500
138	5	18	10000_1026_90
139	5	19	30000_7030_1
140	5	20	30000_6004_2
141	5	21	10000_1001_200
142	5	22	30000_7001_10000
143	5	23	10000_1026_120
144	5	24	30000_7031_1
145	5	25	30000_6003_1
146	5	26	10000_1001_200
147	5	27	30000_7001_10000
148	5	28	10000_1026_120
149	5	29	30000_7031_1
150	5	30	30000_6003_2
151	5	31	10000_1001_200
152	6	1	10000_1001_100
153	6	2	30000_7001_5000
154	6	3	10000_1026_60
155	6	4	30000_7029_1
156	6	5	30000_6004_1
157	6	6	10000_1001_100
158	6	7	30000_7001_5000
159	6	8	10000_1026_60
160	6	9	30000_7029_1
161	6	10	30000_6004_1
162	6	11	10000_1001_150
163	6	12	30000_7001_7500
164	6	13	10000_1026_90
165	6	14	30000_7030_1
166	6	15	30000_6004_2
167	6	16	10000_1001_150
168	6	17	30000_7001_7500
169	6	18	10000_1026_90
170	6	19	30000_7030_1
171	6	20	30000_6004_2
172	6	21	10000_1001_200
173	6	22	30000_7001_10000
174	6	23	10000_1026_120
175	6	24	30000_7031_1
176	6	25	30000_6003_1
177	6	26	10000_1001_200
178	6	27	30000_7001_10000
179	6	28	10000_1026_120
180	6	29	30000_7031_1
181	6	30	30000_6003_2
182	7	1	10000_1001_100
183	7	2	30000_7001_5000
184	7	3	10000_1026_60
185	7	4	30000_7029_1
186	7	5	30000_6004_1
187	7	6	10000_1001_100
188	7	7	30000_7001_5000
189	7	8	10000_1026_60
190	7	9	30000_7029_1
191	7	10	30000_6004_1
192	7	11	10000_1001_150
193	7	12	30000_7001_7500
194	7	13	10000_1026_90
195	7	14	30000_7030_1
196	7	15	30000_6004_2
197	7	16	10000_1001_150
198	7	17	30000_7001_7500
199	7	18	10000_1026_90
200	7	19	30000_7030_1
201	7	20	30000_6004_2
202	7	21	10000_1001_200
203	7	22	30000_7001_10000
204	7	23	10000_1026_120
205	7	24	30000_7031_1
206	7	25	30000_6003_1
207	7	26	10000_1001_200
208	7	27	30000_7001_10000
209	7	28	10000_1026_120
210	7	29	30000_7031_1
211	7	30	30000_6003_2
212	7	31	10000_1001_200
213	8	1	10000_1001_100
214	8	2	30000_7001_5000
215	8	3	10000_1026_60
216	8	4	30000_7029_1
217	8	5	30000_6004_1
218	8	6	10000_1001_100
219	8	7	30000_7001_5000
220	8	8	10000_1026_60
221	8	9	30000_7029_1
222	8	10	30000_6004_1
