id	排序id	折扣礼包内容	最小等级限制	最大等级限制	原始价格(日元标价)	原始价格(日元标价)HoneyP	礼包名称	限购类型(1每日刷新2每周刷新3不刷新)	限购次数	礼包中的装备是否为神器(First-Second-Double)
10	10	10000_1002_10000	1	999	0	0	@PLAYER_RECHARGE_GIFT_10	1	1	First
11	11	10000_1001_300,30000_6004_5	1	999	20	200	@PLAYER_RECHARGE_GIFT_11	1	1	First
12	14	10000_1001_100,30000_3001_40,10000_1002_80000	1	999	50	500	@PLAYER_RECHARGE_GIFT_12	1	3	First
13	15	10000_1001_100,30000_3501_40,30000_7001_80000	1	999	50	500	@PLAYER_RECHARGE_GIFT_13	1	3	First
14	16	10000_1001_100,30000_3801_24,30000_7181_500	1	999	50	500	@PLAYER_RECHARGE_GIFT_14	1	3	First
16	17	10000_1001_300,30000_7182_2000	1	999	50	500	@PLAYER_RECHARGE_GIFT_16	1	3	First
19	13	30000_6002_55	1	999	50	500	@PLAYER_RECHARGE_GIFT_19	1	3	First
20	12	10000_1001_1580,30000_6002_15,30000_6004_10	1	999	50	500	@PLAYER_RECHARGE_GIFT_20	1	3	First
30	30	10000_1001_100,30000_6004_5	1	999	0	0	@PLAYER_RECHARGE_GIFT_30	2	1	First
31	31	10000_1001_980,30000_6004_30	1	999	100	1000	@PLAYER_RECHARGE_GIFT_31	2	1	First
32	32	10000_1001_980,30000_7222_1000,30000_5001_800	1	999	100	1000	@PLAYER_RECHARGE_GIFT_32	2	3	First
34	36	10000_1001_980,30000_7223_1000,30000_5001_800	1	999	100	1000	@PLAYER_RECHARGE_GIFT_34	2	3	First
35	33	10000_1001_300,30000_7501_500	1	999	100	1000	@PLAYER_RECHARGE_GIFT_35	2	3	First
36	34	10000_1001_980,30000_7502_5	1	999	100	1000	@PLAYER_RECHARGE_GIFT_36	2	3	First
37	35	10000_1001_980,30000_7503_5	1	999	100	1000	@PLAYER_RECHARGE_GIFT_37	2	3	First
50	50	10000_1001_200,30000_6004_5	1	999	0	0	@PLAYER_RECHARGE_GIFT_50	4	1	First
51	51	10000_1001_1980,30000_6004_70	1	999	200	2000	@PLAYER_RECHARGE_GIFT_51	4	1	First
55	53	10000_1001_3280,30000_7229_1	1	999	310	3100	@PLAYER_RECHARGE_GIFT_55	4	2	First
56	54	10000_1001_3280,30000_7230_1	1	999	310	3100	@PLAYER_RECHARGE_GIFT_56	4	2	First
57	52	10000_1001_3280,30000_6004_200,30000_7177_1	1	999	310	3100	@PLAYER_RECHARGE_GIFT_57	4	1	First
