id	towerId	minRank	TotalAward
1	1	1	10000_1001_1000
2	1	2	10000_1001_800
3	1	3	10000_1001_600
4	1	10	10000_1001_400
5	1	100	10000_1001_100
6	1	1000	10000_1001_100
7	1	5000	10000_1001_100
8	2	1	10000_1001_1000
9	2	2	10000_1001_800
10	2	3	10000_1001_600
11	2	10	10000_1001_400
12	2	100	10000_1001_100
13	2	1000	10000_1001_100
14	2	5000	10000_1001_100
15	3	1	10000_1001_1000
16	3	2	10000_1001_800
17	3	3	10000_1001_600
18	3	10	10000_1001_400
19	3	100	10000_1001_100
20	3	1000	10000_1001_100
21	3	5000	10000_1001_100
