id	type	CHID	FreeReward	CostReward
1	1	1	10000_1001_200	10000_1001_1000
2	1	10	10000_1001_200	10000_1001_1000
3	1	20	10000_1001_200	10000_1001_1000,30000_7183_5
4	1	30	10000_1001_200	10000_1001_2000
5	1	40	10000_1001_200	10000_1001_2000,30000_7184_5
6	1	50	10000_1001_200	10000_1001_2000,30000_6004_5
7	2	60	10000_1001_200	10000_1001_1500
8	2	65	10000_1001_200	10000_1001_1500,30000_7197_3
9	2	70	10000_1001_200	10000_1001_1500
10	2	75	10000_1001_200	10000_1001_2500,30000_7186_5
11	2	80	10000_1001_200	10000_1001_2500,30000_5013_100,30000_5011_100
12	2	85	10000_1001_200	10000_1001_2500
13	2	90	10000_1001_200	10000_1001_3500,30000_5001_500
14	2	95	10000_1001_200	10000_1001_3500
15	2	100	10000_1001_200	10000_1001_3500,30000_6004_10
