id	type	LvNeed	FreeReward	CostReward
1	1	5	30000_6004_2	30000_6004_50,10000_1001_500
2	1	10	30000_6004_2	30000_6004_10,10000_1001_300
3	1	15	30000_6004_2	30000_6004_10,10000_1001_300
4	1	20	30000_6004_2	30000_7225_2,10000_1001_300
5	1	25	30000_6004_2	30000_6004_50,10000_1001_300
6	1	30	30000_6004_2	30000_6004_10,10000_1001_300
7	1	35	30000_6004_2	30000_6004_10,10000_1001_300
8	1	40	30000_6004_2	30000_6004_10,10000_1001_300
9	1	45	30000_6004_2	30000_6004_50,10000_1001_300
10	1	50	30000_6004_2	30000_7225_2,10000_1001_300
11	2	55	30000_6004_2	30000_6004_50,10000_1001_500
12	2	60	30000_6004_2	30000_6004_10,10000_1001_500
13	2	65	30000_6004_2	30000_6004_10,10000_1001_500
14	2	70	30000_6004_2	30000_7225_2,10000_1001_500
15	2	75	30000_6004_2	30000_6004_10,10000_1001_500
16	2	80	30000_6004_2	30000_6004_50,10000_1001_500
17	2	85	30000_6004_2	30000_6004_10,10000_1001_500
18	2	90	30000_6004_2	30000_7225_2,10000_1001_500
19	2	95	30000_6004_2	30000_6004_10,10000_1001_500
20	2	100	30000_6004_2	30000_7225_2,10000_1001_500
