ID	Role	BG	StartMovementId	EndMovementId	BGM	EFF	VoiceWait
0301001		BG/AVG/avg_bg_001.jpg	030100101	030100103			
0401001		BG/AVG/avg_bg_001.jpg	040100101	040100103			
0501001		BG/AVG/avg_bg_001.jpg	050100101	050100103			
0701001		BG/AVG/avg_bg_001.jpg	070100101	070100103			
1401001		BG/AVG/avg_bg_001.jpg	140100101	140100103			
1501001		BG/AVG/avg_bg_001.jpg	150100101	150100103			
1801001		BG/AVG/avg_bg_001.jpg	180100101	180100103			
1901001		BG/AVG/avg_bg_001.jpg	190100101	190100103			
2101001		BG/AVG/avg_bg_001.jpg	210100101	210100103			
2401001		BG/AVG/avg_bg_001.jpg	240100101	240100103			
