Level	needItem
1	10000_1002_20,30000_7001_90
2	10000_1002_200,30000_7001_183
3	10000_1002_260,30000_7001_214
4	10000_1002_320,30000_7001_245
5	10000_1002_380,30000_7001_276
6	10000_1002_440,30000_7001_307
7	10000_1002_500,30000_7001_338
8	10000_1002_560,30000_7001_369
9	10000_1002_620,30000_7001_400
10	10000_1002_680,30000_7001_431,30000_7181_20
11	10000_1002_740,30000_7001_462
12	10000_1002_800,30000_7001_493
13	10000_1002_860,30000_7001_524
14	10000_1002_920,30000_7001_555
15	10000_1002_980,30000_7001_586
16	10000_1002_1040,30000_7001_617
17	10000_1002_1100,30000_7001_648
18	10000_1002_1160,30000_7001_679
19	10000_1002_1220,30000_7001_710
20	10000_1002_1280,30000_7001_741,30000_7181_60
21	10000_1002_1340,30000_7001_772
22	10000_1002_1400,30000_7001_803
23	10000_1002_1460,30000_7001_834
24	10000_1002_1520,30000_7001_865
25	10000_1002_1580,30000_7001_896
26	10000_1002_1640,30000_7001_927
27	10000_1002_1700,30000_7001_958
28	10000_1002_1760,30000_7001_989
29	10000_1002_1820,30000_7001_1020
30	10000_1002_1880,30000_7001_1051
31	10000_1002_1940,30000_7001_1082
32	10000_1002_2000,30000_7001_1113
33	10000_1002_2060,30000_7001_1144
34	10000_1002_2120,30000_7001_1175
35	10000_1002_2180,30000_7001_1206
36	10000_1002_2240,30000_7001_1237
37	10000_1002_2300,30000_7001_1268
38	10000_1002_2360,30000_7001_1299
39	10000_1002_2420,30000_7001_1330
40	10000_1002_12320,30000_7001_8290,30000_7181_130
41	10000_1002_12620,30000_7001_8490
42	10000_1002_12920,30000_7001_8690
43	10000_1002_13220,30000_7001_8890
44	10000_1002_13520,30000_7001_9090
45	10000_1002_13820,30000_7001_9290
46	10000_1002_14120,30000_7001_9490
47	10000_1002_14420,30000_7001_9690
48	10000_1002_14720,30000_7001_9890
49	10000_1002_15020,30000_7001_10090
50	10000_1002_15320,30000_7001_10290
51	10000_1002_15620,30000_7001_10490
52	10000_1002_15920,30000_7001_10690
53	10000_1002_16220,30000_7001_10890
54	10000_1002_16520,30000_7001_11090
55	10000_1002_16820,30000_7001_11290,30000_7181_270
56	10000_1002_17120,30000_7001_11490
57	10000_1002_17420,30000_7001_11690
58	10000_1002_17720,30000_7001_11890
59	10000_1002_18020,30000_7001_12090
60	10000_1002_24420,30000_7001_18390
61	10000_1002_24820,30000_7001_18690
62	10000_1002_25220,30000_7001_18990
63	10000_1002_25620,30000_7001_19290
64	10000_1002_26020,30000_7001_19590
65	10000_1002_26420,30000_7001_19890,30000_7181_600
66	10000_1002_26820,30000_7001_20190
67	10000_1002_27220,30000_7001_20490
68	10000_1002_27620,30000_7001_20790
69	10000_1002_28020,30000_7001_21090
70	10000_1002_28420,30000_7001_21390
71	10000_1002_28820,30000_7001_21690
72	10000_1002_29220,30000_7001_21990
73	10000_1002_29620,30000_7001_22290
74	10000_1002_30020,30000_7001_22590
75	10000_1002_60820,30000_7001_30490,30000_7181_750
76	10000_1002_61620,30000_7001_30890
77	10000_1002_62420,30000_7001_31290
78	10000_1002_63220,30000_7001_31690
79	10000_1002_64020,30000_7001_32090
80	10000_1002_72920,30000_7001_32490
81	10000_1002_73820,30000_7001_32890
82	10000_1002_74720,30000_7001_33290
83	10000_1002_75620,30000_7001_33690
84	10000_1002_76520,30000_7001_34090
85	10000_1002_77420,30000_7001_38790,30000_7181_1000
86	10000_1002_78320,30000_7001_39240
87	10000_1002_79220,30000_7001_39690
88	10000_1002_80120,30000_7001_40140
89	10000_1002_81020,30000_7001_40590
90	10000_1002_81283,30000_7001_41040
91	10000_1002_81716,30000_7001_41490
92	10000_1002_81860,30000_7001_41940
93	10000_1002_81988,30000_7001_42390
94	10000_1002_82100,30000_7001_42840
95	10000_1002_82196,30000_7001_43290
96	10000_1002_82276,30000_7001_43740
97	10000_1002_82340,30000_7001_44190
98	10000_1002_82388,30000_7001_44640
99	10000_1002_82420,30000_7001_45090
100	10000_1002_101020,30000_7001_151590,30000_7181_1200
101	10000_1002_102020,30000_7001_153090
102	10000_1002_103020,30000_7001_154590
103	10000_1002_104020,30000_7001_156090
104	10000_1002_105020,30000_7001_157590
105	10000_1002_190820,30000_7001_158030
106	10000_1002_192620,30000_7001_159520
107	10000_1002_194420,30000_7001_161010
108	10000_1002_196220,30000_7001_162500
109	10000_1002_198020,30000_7001_163990
110	10000_1002_199820,30000_7001_165480
111	10000_1002_201620,30000_7001_166970
112	10000_1002_203420,30000_7001_168460
113	10000_1002_205220,30000_7001_169950
114	10000_1002_207020,30000_7001_171440
115	10000_1002_208820,30000_7001_172930,30000_7181_1250
116	10000_1002_210620,30000_7001_174420
117	10000_1002_212420,30000_7001_175910
118	10000_1002_214220,30000_7001_177400
119	10000_1002_216020,30000_7001_480090
120	10000_1002_556620,30000_7001_484090,30000_7181_1500
121	10000_1002_561220,30000_7001_488090
122	10000_1002_565820,30000_7001_492090
123	10000_1002_570420,30000_7001_496090
124	10000_1002_575020,30000_7001_500090
125	10000_1002_579620,30000_7001_504090,30000_7181_1600
126	10000_1002_584220,30000_7001_508090
127	10000_1002_588820,30000_7001_512090
128	10000_1002_593420,30000_7001_516090
129	10000_1002_598020,30000_7001_520090
130	10000_1002_602620,30000_7001_524090,30000_7181_1700
131	10000_1002_607220,30000_7001_528090
132	10000_1002_611820,30000_7001_532090
133	10000_1002_616420,30000_7001_536090
134	10000_1002_621020,30000_7001_540090
135	10000_1002_625620,30000_7001_544090,30000_7181_1800
136	10000_1002_630220,30000_7001_548090
137	10000_1002_634820,30000_7001_552090
138	10000_1002_639420,30000_7001_556090
139	10000_1002_644020,30000_7001_560090
140	10000_1002_648620,30000_7001_564090,30000_7181_1900
141	10000_1002_653220,30000_7001_568090
142	10000_1002_657820,30000_7001_572090
143	10000_1002_662420,30000_7001_576090
144	10000_1002_667020,30000_7001_580090
145	10000_1002_671620,30000_7001_584090,30000_7181_2000
146	10000_1002_676220,30000_7001_588090
147	10000_1002_680820,30000_7001_592090
148	10000_1002_685420,30000_7001_596090
149	10000_1002_690020,30000_7001_600090
150	10000_1002_694620,30000_7001_604090,30000_7181_2100
151	10000_1002_699220,30000_7001_608090
152	10000_1002_703820,30000_7001_612090
153	10000_1002_708420,30000_7001_616090
154	10000_1002_713020,30000_7001_620090
155	10000_1002_717620,30000_7001_624090,30000_7181_2200
156	10000_1002_722220,30000_7001_628090
157	10000_1002_726820,30000_7001_632090
158	10000_1002_731420,30000_7001_636090
159	10000_1002_736020,30000_7001_640090
160	10000_1002_740620,30000_7001_644090,30000_7181_2300
161	10000_1002_745220,30000_7001_648090
162	10000_1002_749820,30000_7001_652090
163	10000_1002_754420,30000_7001_656090
164	10000_1002_759020,30000_7001_660090
165	10000_1002_763620,30000_7001_664090,30000_7181_2400
166	10000_1002_768220,30000_7001_668090
167	10000_1002_772820,30000_7001_672090
168	10000_1002_777420,30000_7001_676090
169	10000_1002_782020,30000_7001_680090
170	10000_1002_786620,30000_7001_684090,30000_7181_2500
171	10000_1002_791220,30000_7001_688090
172	10000_1002_795820,30000_7001_692090
173	10000_1002_800420,30000_7001_696090
174	10000_1002_805020,30000_7001_700090
175	10000_1002_809620,30000_7001_704090,30000_7181_2600
176	10000_1002_814220,30000_7001_708090
177	10000_1002_818820,30000_7001_712090
178	10000_1002_823420,30000_7001_716090
179	10000_1002_828020,30000_7001_720090
180	10000_1002_832620,30000_7001_724090,30000_7181_2700
181	10000_1002_837220,30000_7001_728090
182	10000_1002_841820,30000_7001_732090
183	10000_1002_846420,30000_7001_736090
184	10000_1002_851020,30000_7001_740090
185	10000_1002_855620,30000_7001_744090,30000_7181_2800
186	10000_1002_860220,30000_7001_748090
187	10000_1002_864820,30000_7001_752090
188	10000_1002_869420,30000_7001_756090
189	10000_1002_874020,30000_7001_760090
190	10000_1002_878620,30000_7001_764090,30000_7181_2900
191	10000_1002_883220,30000_7001_768090
192	10000_1002_887820,30000_7001_772090
193	10000_1002_892420,30000_7001_776090
194	10000_1002_897020,30000_7001_780090
195	10000_1002_901620,30000_7001_784090,30000_7181_3000
196	10000_1002_906220,30000_7001_788090
197	10000_1002_910820,30000_7001_792090
198	10000_1002_915420,30000_7001_796090
199	10000_1002_920020,30000_7001_800090
200	10000_1002_924620,30000_7001_804090,30000_7181_3100
201	10000_1002_929220,30000_7001_808090
202	10000_1002_933820,30000_7001_812090
203	10000_1002_938420,30000_7001_816090
204	10000_1002_943020,30000_7001_820090
205	10000_1002_947620,30000_7001_824090,30000_7181_3200
206	10000_1002_952220,30000_7001_828090
207	10000_1002_956820,30000_7001_832090
208	10000_1002_961420,30000_7001_836090
209	10000_1002_966020,30000_7001_840090
210	10000_1002_970620,30000_7001_844090,30000_7181_3300
211	10000_1002_975220,30000_7001_848090
212	10000_1002_979820,30000_7001_852090
213	10000_1002_984420,30000_7001_856090
214	10000_1002_989020,30000_7001_860090
215	10000_1002_993620,30000_7001_864090,30000_7181_3400
216	10000_1002_998220,30000_7001_868090
217	10000_1002_1002820,30000_7001_872090
218	10000_1002_1007420,30000_7001_876090
219	10000_1002_1012020,30000_7001_880090
220	10000_1002_1016620,30000_7001_884090,30000_7181_3500
221	10000_1002_1021220,30000_7001_888090
222	10000_1002_1025820,30000_7001_892090
223	10000_1002_1030420,30000_7001_896090
224	10000_1002_1035020,30000_7001_900090
225	10000_1002_1039620,30000_7001_904090,30000_7181_3600
226	10000_1002_1044220,30000_7001_908090
227	10000_1002_1048820,30000_7001_912090
228	10000_1002_1053420,30000_7001_916090
229	10000_1002_1058020,30000_7001_920090
230	10000_1002_1062620,30000_7001_924090,30000_7181_3700
231	10000_1002_1067220,30000_7001_928090
232	10000_1002_1071820,30000_7001_932090
233	10000_1002_1076420,30000_7001_936090
234	10000_1002_1081020,30000_7001_940090
235	10000_1002_1085620,30000_7001_944090,30000_7181_3800
236	10000_1002_1090220,30000_7001_948090
237	10000_1002_1094820,30000_7001_952090
238	10000_1002_1099420,30000_7001_956090
239	10000_1002_1104020,30000_7001_960090
240	10000_1002_1108620,30000_7001_964090,30000_7181_3900
241	10000_1002_1113220,30000_7001_968090
242	10000_1002_1117820,30000_7001_972090
243	10000_1002_1122420,30000_7001_976090
244	10000_1002_1127020,30000_7001_980090
245	10000_1002_1131620,30000_7001_984090,30000_7181_4000
246	10000_1002_1136220,30000_7001_988090
247	10000_1002_1140820,30000_7001_992090
248	10000_1002_1145420,30000_7001_996090
249	10000_1002_1150020,30000_7001_1000090
