远征任务ID	星级	美术资源ID	任务名字	英雄星數	英雄職業	英雄屬性	獎勵	aliveTime
1	1	map/bounty_001.png	@yongbingyuanzheng_1	1	1	1	30000_7183_2	60
2	1	map/bounty_002.png	@yongbingyuanzheng_1	3	2	2	30000_7183_4	60
3	2	map/bounty_003.png	@yongbingyuanzheng_1	4	3	3	30000_7184_2	60
4	2	map/bounty_004.png	@yongbingyuanzheng_1	5	4	1	30000_7185_2	60
5	3	map/bounty_005.png	@yongbingyuanzheng_1	6	1	2	30000_7186_2	60
6	5	map/bounty_001.png	@yongbingyuanzheng_2	2	2	3	10000_1001_50	60
7	1	map/bounty_002.png	@yongbingyuanzheng_2	1	3	1	30000_3502_2	60
8	1	map/bounty_003.png	@yongbingyuanzheng_2	3	4	2	30000_3503_4	60
9	2	map/bounty_004.png	@yongbingyuanzheng_2	4	1	3	30000_3802_2	60
10	2	map/bounty_005.png	@yongbingyuanzheng_2	5	2	1	30000_3803_4	60
11	4	map/bounty_006.png	@yongbingyuanzheng_2	4	3	1	70000_1_10	60
12	4	map/bounty_001.png	@yongbingyuanzheng_3	4	4	1	70000_2_10	60
13	4	map/bounty_002.png	@yongbingyuanzheng_3	5	1	1	70000_3_10	60
14	4	map/bounty_003.png	@yongbingyuanzheng_3	4	2	1	70000_4_10	60
15	4	map/bounty_004.png	@yongbingyuanzheng_4	4	3	1	70000_5_10	60
16	4	map/bounty_005.png	@yongbingyuanzheng_5	4	4	1	70000_6_10	60
17	4	map/bounty_006.png	@yongbingyuanzheng_6	5	1	2	70000_7_10	60
18	4	map/bounty_001.png	@yongbingyuanzheng_7	5	2	2	70000_8_10	60
19	4	map/bounty_002.png	@yongbingyuanzheng_8	5	3	2	70000_9_10	60
20	4	map/bounty_003.png	@yongbingyuanzheng_9	4	4	2	70000_10_10	60
21	4	map/bounty_004.png	@yongbingyuanzheng_10	4	1	2	70000_11_10	60
22	4	map/bounty_005.png	@yongbingyuanzheng_11	4	2	2	70000_12_10	60
23	4	map/bounty_006.png	@yongbingyuanzheng_12	4	3	3	70000_13_10	60
24	4	map/bounty_001.png	@yongbingyuanzheng_13	5	4	3	70000_14_10	60
25	4	map/bounty_002.png	@yongbingyuanzheng_14	5	1	3	70000_15_10	60
26	4	map/bounty_003.png	@yongbingyuanzheng_15	4	2	3	70000_16_10	60
27	4	map/bounty_004.png	@yongbingyuanzheng_16	4	3	3	70000_17_10	60
28	4	map/bounty_005.png	@yongbingyuanzheng_17	4	4	3	70000_18_10	60
29	5	map/bounty_006.png	@yongbingyuanzheng_18	6	1	4	70000_19_10	60
30	5	map/bounty_001.png	@yongbingyuanzheng_19	6	2	4	70000_10_10	60
31	5	map/bounty_002.png	@yongbingyuanzheng_20	6	3	4	70000_21_10	60
32	5	map/bounty_003.png	@yongbingyuanzheng_21	6	4	5	70000_22_10	60
33	5	map/bounty_004.png	@yongbingyuanzheng_22	6	1	5	70000_23_10	60
34	5	map/bounty_005.png	@yongbingyuanzheng_23	6	2	5	70000_24_10	60
