id	subStageId	item	image	trialNumber	heroId	albumImage	groupId
1	1,2,3,4	30000_5003_10,30000_5011_10	UI/Common/PuzzleBattle/PuzzleBattle_10011.jpg	1	10	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_10011.jpg	1001
2	5,6,7,8,9,10,11,12,13	30000_7221_20,10000_1001_200	UI/Common/PuzzleBattle/PuzzleBattle_10012.jpg	2	10	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_10012.jpg	1001
3	14,15,16,17	30000_5001_20,30000_7203_3,30000_7602_5	UI/Common/PuzzleBattle/PuzzleBattle_10013.jpg	3	10	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_10013.jpg	1001
4	18,19,20,21	30000_5003_10,30000_5011_10	UI/Common/PuzzleBattle/PuzzleBattle_10014.jpg	4	10	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_10014.jpg	1001
5	22,23,24,25,26,27,28,29,30	30000_7221_20,10000_1001_200	UI/Common/PuzzleBattle/PuzzleBattle_10015.jpg	5	10	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_10015.jpg	1001
6	31,32,33,34	30000_5001_20,30000_7203_3,30000_7602_5	UI/Common/PuzzleBattle/PuzzleBattle_10016.jpg	6	10	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_10016.jpg	1001
7	35,36,37,38	30000_7222_10,30000_7223_10	UI/Common/PuzzleBattle/PuzzleBattle_10017.jpg	7	10	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_10017.jpg	1001
8	39,40,41,42	30000_5007_30,30000_5011_30	UI/Common/PuzzleBattle/PuzzleBattle_16011.jpg	1	16	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_16011.jpg	1601
9	43,44,45,46,47,48,49,50,51	30000_7221_60,10000_1001_200	UI/Common/PuzzleBattle/PuzzleBattle_16012.jpg	2	16	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_16012.jpg	1601
10	52,53,54,55	30000_5001_60,30000_7203_3,30000_7212_5	UI/Common/PuzzleBattle/PuzzleBattle_16013.jpg	3	16	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_16013.jpg	1601
11	56,57,58,59	30000_5007_30,30000_5011_30	UI/Common/PuzzleBattle/PuzzleBattle_16014.jpg	4	16	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_16014.jpg	1601
12	60,61,62,63,64,65,66,67,68	30000_7221_60,10000_1001_200	UI/Common/PuzzleBattle/PuzzleBattle_16015.jpg	5	16	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_16015.jpg	1601
13	69,70,71,72	30000_5001_60,30000_7203_3,30000_7212_5	UI/Common/PuzzleBattle/PuzzleBattle_16016.jpg	6	16	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_16016.jpg	1601
14	73,74,75,76	30000_7222_30,30000_7223_30	UI/Common/PuzzleBattle/PuzzleBattle_16017.jpg	7	16	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_16017.jpg	1601
15	77,78,79,80	30000_5005_30,30000_5013_30	UI/Common/PuzzleBattle/PuzzleBattle_06011.jpg	1	6	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_06011.jpg	0601
16	81,82,83,84,85,86,87,88,89	30000_7221_60,10000_1001_200	UI/Common/PuzzleBattle/PuzzleBattle_06012.jpg	2	6	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_06012.jpg	0601
17	90,91,92,93	30000_5001_60,30000_7203_3,30000_7212_5	UI/Common/PuzzleBattle/PuzzleBattle_06013.jpg	3	6	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_06013.jpg	0601
18	94,95,96,97	30000_5005_30,30000_5013_30	UI/Common/PuzzleBattle/PuzzleBattle_06014.jpg	4	6	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_06014.jpg	0601
19	98,99,100,101,102,103,104,105,106	30000_7221_60,10000_1001_200	UI/Common/PuzzleBattle/PuzzleBattle_06015.jpg	5	6	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_06015.jpg	0601
20	107,108,109,110	30000_5001_60,30000_7203_3,30000_7212_5	UI/Common/PuzzleBattle/PuzzleBattle_06016.jpg	6	6	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_06016.jpg	0601
21	111,112,113,114	30000_7222_30,30000_7223_30	UI/Common/PuzzleBattle/PuzzleBattle_06017.jpg	7	6	UI/Common/PuzzleBattle/PuzzleAlbum/PuzzleAlbum_06017.jpg	0601
