id	type	timeindex	count	platformtype	needcount	reward	rank
1	2	1	1	1	1000	10000_1001_1080,30000_6004_20,30000_7181_500	1
2	2	1	2	1	2000	10000_1001_2170,70000_8_60,30000_7001_1125000,10000_1002_1500000	2
3	2	1	3	1	2600	10000_1001_2840,70000_8_80,30000_7001_1500000,10000_1002_1875000	3
4	2	1	3	1	4300	10000_1001_4700,70000_8_100,30000_7001_1875000,10000_1002_2250000	4
5	2	1	2	1	8400	10000_1001_9200,70000_8_120,30000_7001_2625000,10000_1002_3000000	5
6	2	1	1	1	19000	10000_1001_17370,70000_8_150,30000_7209_5	6
7	2	1	1	1	31000	10000_1001_32660,70000_8_200,30000_7209_10	7
8	1	3	0	1	1000	10000_1002_150000,30000_7001_100000,30000_7181_500	1
9	1	3	0	1	2000	30000_21901_50,30000_3001_2,30000_3501_2,30000_7181_1500	2
10	1	3	0	1	3000	30000_21901_50,30000_7182_200,30000_7184_5	3
11	1	3	0	1	5000	30000_21901_75,30000_7182_200,30000_7185_5	4
12	1	3	0	1	10000	30000_21901_75,30000_7182_400,30000_7187_5	5
13	1	3	0	1	20000	40000_1013_1,30000_3001_10,30000_3501_10	6
14	1	3	0	1	30000	40000_2013_1,30000_3001_12,30000_3501_12	7
15	1	3	0	1	50000	40000_4013_1,30000_3001_14,30000_3501_14	8
16	1	3	0	1	80000	40000_3013_1,30000_3001_16,30000_3501_16	9
17	3	1	0	1	500	30000_3001_2	1
18	3	1	0	1	1000	30000_3001_3	2
19	3	1	0	1	2000	30000_6004_10,30000_3001_4,30000_3501_1	3
20	3	1	0	1	3000	30000_6004_12,30000_3001_6,30000_3501_3	4
21	3	1	0	1	5000	30000_6004_15,30000_3001_8,30000_3501_5	5
22	3	1	0	1	10000	30000_6004_20,30000_3001_10,30000_3501_7	6
23	3	1	0	1	20000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
24	3	1	0	1	30000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	8
25	2	2	1	1	1000	30000_6004_2	1
26	2	2	1	1	2000	30000_6004_5,30000_3001_2	2
27	2	2	1	1	2600	30000_6004_10,30000_3001_4,30000_3501_1	3
28	2	2	1	1	4300	30000_6004_12,30000_3001_6,30000_3501_3	4
29	2	2	1	1	8400	30000_6004_15,30000_3001_8,30000_3501_5	5
30	2	2	1	1	19000	30000_6004_20,30000_3001_10,30000_3501_7	6
31	2	2	1	1	31000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
32	1	4	0	1	1000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	1
33	1	4	0	1	2000	30000_6004_2	2
34	1	4	0	1	3000	30000_6004_5,30000_3001_2	3
35	1	4	0	1	5000	30000_6004_10,30000_3001_4,30000_3501_1	4
36	1	4	0	1	10000	30000_6004_12,30000_3001_6,30000_3501_3	5
37	1	4	0	1	20000	30000_6004_15,30000_3001_8,30000_3501_5	6
38	1	4	0	1	30000	30000_6004_20,30000_3001_10,30000_3501_7	7
39	1	4	0	1	50000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	8
40	1	4	0	1	80000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	9
41	2	5	1	1	1000	30000_6004_2	1
42	2	5	1	1	2000	30000_6004_5,30000_3001_2	2
43	2	5	1	1	2600	30000_6004_10,30000_3001_4,30000_3501_1	3
44	2	5	1	1	4300	30000_6004_12,30000_3001_6,30000_3501_3	4
45	2	5	1	1	8400	30000_6004_15,30000_3001_8,30000_3501_5	5
46	2	5	1	1	19000	30000_6004_20,30000_3001_10,30000_3501_7	6
47	2	5	1	1	31000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
48	2	6	1	1	1000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	1
49	2	6	1	1	2000	30000_6004_2	2
50	2	6	1	1	2600	30000_6004_5,30000_3001_2	3
51	2	6	1	1	4300	30000_6004_10,30000_3001_4,30000_3501_1	4
52	2	6	1	1	8400	30000_6004_12,30000_3001_6,30000_3501_3	5
53	2	6	1	1	19000	30000_6004_15,30000_3001_8,30000_3501_5	6
54	2	6	1	1	31000	30000_6004_20,30000_3001_10,30000_3501_7	7
55	2	7	1	1	1000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	1
56	2	7	1	1	2000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	2
57	2	7	1	1	2600	30000_6004_2	3
58	2	7	1	1	4300	30000_6004_5,30000_3001_2	4
59	2	7	1	1	8400	30000_6004_10,30000_3001_4,30000_3501_1	5
60	2	7	1	1	19000	30000_6004_12,30000_3001_6,30000_3501_3	6
61	2	7	1	1	31000	30000_6004_15,30000_3001_8,30000_3501_5	7
62	2	8	1	1	1000	30000_6004_20,30000_3001_10,30000_3501_7	1
63	2	8	1	1	2000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	2
64	2	8	1	1	2600	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	3
65	2	8	1	1	4300	30000_6004_2	4
66	2	8	1	1	8400	30000_6004_5,30000_3001_2	5
67	2	8	1	1	19000	30000_6004_10,30000_3001_4,30000_3501_1	6
68	2	8	1	1	31000	30000_6004_12,30000_3001_6,30000_3501_3	7
69	2	9	1	1	1000	30000_6004_15,30000_3001_8,30000_3501_5	1
70	2	9	1	1	2000	30000_6004_20,30000_3001_10,30000_3501_7	2
71	2	9	1	1	2600	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	3
72	2	9	1	1	4300	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	4
73	2	9	1	1	8400	10000_1001_9200,70000_24_140,30000_7001_2625000,10000_1002_3000000	5
74	2	9	1	1	19000	10000_1001_17370,70000_24_160,30000_7209_5	6
75	2	9	1	1	31000	10000_1001_32660,70000_24_200,30000_7209_10	7
76	2	10	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
77	2	10	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
78	2	11	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
79	2	11	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
80	2	12	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
81	2	12	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
82	2	13	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
83	2	13	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
84	2	14	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
85	2	14	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
86	2	15	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
87	2	15	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
88	2	16	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
89	2	16	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
90	2	17	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
91	2	17	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
92	2	18	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
93	2	18	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
94	2	19	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
95	2	19	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
96	2	20	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
97	2	20	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
98	2	21	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
99	2	21	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
100	2	22	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
101	2	22	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
102	2	23	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
103	2	23	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
104	2	24	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
105	2	24	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
106	2	25	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
107	2	25	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
108	2	26	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
109	2	26	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
110	2	27	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
111	2	27	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
112	2	28	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
113	2	28	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
114	2	29	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
115	2	29	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
116	2	30	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
117	2	30	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
118	2	31	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
119	2	31	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
120	2	32	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
121	2	32	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
122	2	33	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
123	2	33	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
124	2	34	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
125	2	34	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
126	2	35	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
127	2	35	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
128	2	36	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
129	2	36	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
130	2	37	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
131	2	37	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
132	2	38	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
133	2	38	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
134	2	39	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
135	2	39	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
136	2	40	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
137	2	40	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
138	2	41	1	1	1000	10000_1001_300,30000_7209_4,30000_6004_2	1
139	2	41	1	1	2600	10000_1001_980,30000_7226_2,30000_6004_8,30000_3001_16	2
140	3	2	0	1	500	30000_3001_2	1
141	3	2	0	1	1000	30000_3001_3	2
142	3	2	0	1	2000	30000_6004_10,30000_3001_4,30000_3501_1	3
143	3	2	0	1	3000	30000_6004_12,30000_3001_6,30000_3501_3	4
144	3	2	0	1	5000	30000_6004_15,30000_3001_8,30000_3501_5	5
145	3	2	0	1	10000	30000_6004_20,30000_3001_10,30000_3501_7	6
146	3	2	0	1	20000	30000_6004_25,30000_3001_12,30000_3501_9,30000_3801_5	7
147	3	2	0	1	30000	30000_6004_30,30000_3001_14,30000_3501_11,30000_3801_7	8
