id	roleId	type	value	sort	avgType	avgId	image	titleText	loadMP4
0101	1	0	11	2	0	101	upgrade_01_01	@RoleGrowthUnlock_0101	
0201	2	0	11	2	0	201	upgrade_02_01	@RoleGrowthUnlock_0201	
0301	3	0	11	2	0	301	upgrade_03_01	@RoleGrowthUnlock_0301	
0401	4	0	11	2	0	401	upgrade_04_01	@RoleGrowthUnlock_0401	
0501	5	0	11	2	0	501	upgrade_05_01	@RoleGrowthUnlock_0501	
0601	6	0	11	2	0	601	upgrade_06_01	@RoleGrowthUnlock_0601	
0701	7	0	11	2	0	701	upgrade_07_01	@RoleGrowthUnlock_0701	
0801	8	0	11	2	0	801	upgrade_08_01	@RoleGrowthUnlock_0801	
0901	9	0	11	2	0	901	upgrade_09_01	@RoleGrowthUnlock_0901	
1001	10	0	11	2	0	1001	upgrade_10_01	@RoleGrowthUnlock_1001	
1101	11	0	11	2	0	1101	upgrade_11_01	@RoleGrowthUnlock_1101	
1201	12	0	11	2	0	1201	upgrade_12_01	@RoleGrowthUnlock_1201	
1301	13	0	11	2	0	1301	upgrade_13_01	@RoleGrowthUnlock_1301	
1401	14	0	11	2	0	1401	upgrade_14_01	@RoleGrowthUnlock_1401	
1501	15	0	11	2	0	1501	upgrade_15_01	@RoleGrowthUnlock_1501	
1601	16	0	11	2	0	1601	upgrade_16_01	@RoleGrowthUnlock_1601	
1701	17	0	11	2	0	1701	upgrade_17_01	@RoleGrowthUnlock_1701	
1801	18	0	11	2	0	1801	upgrade_18_01	@RoleGrowthUnlock_1801	
1901	19	0	11	2	0	1901	upgrade_19_01	@RoleGrowthUnlock_1901	
2001	20	0	11	2	0	2001	upgrade_20_01	@RoleGrowthUnlock_2001	
2101	21	0	11	2	0	2101	upgrade_21_01	@RoleGrowthUnlock_2101	
2201	22	0	11	2	0	2201	upgrade_22_01	@RoleGrowthUnlock_2201	
2301	23	0	11	2	0	2301	upgrade_23_01	@RoleGrowthUnlock_2301	
2401	24	0	11	2	0	2401	upgrade_24_01	@RoleGrowthUnlock_2401	
2501	25	0	11	2	1	2502	upgrade_25_01	@RoleGrowthUnlock_2501	RGU_HV_2502
0302	3	1	160	3	1	0301	upgrade_03_02	@RoleGrowthUnlock_0302	RGU_HV_0301
0502	5	1	160	3	1	0501	upgrade_05_02	@RoleGrowthUnlock_0502	RGU_HV_0501
0802	8	1	160	3	1	0801	upgrade_08_02	@RoleGrowthUnlock_0802	RGU_HV_0801
1502	15	1	160	3	1	1501	upgrade_15_02	@RoleGrowthUnlock_1502	RGU_HV_1501
1802	18	1	160	3	1	1801	upgrade_18_02	@RoleGrowthUnlock_1802	RGU_HV_1801
1902	19	1	160	3	1	1901	upgrade_19_02	@RoleGrowthUnlock_1902	RGU_HV_1901
2002	20	1	160	3	1	2001	upgrade_20_02	@RoleGrowthUnlock_2002	RGU_HV_2001
2102	21	1	160	3	1	2101	upgrade_21_02	@RoleGrowthUnlock_2102	RGU_HV_2101
2202	22	1	160	3	1	2201	upgrade_22_02	@RoleGrowthUnlock_2202	RGU_HV_2201
2302	23	1	160	3	1	2301	upgrade_23_02	@RoleGrowthUnlock_2302	RGU_HV_2301
2402	24	1	160	3	1	2401	upgrade_24_02	@RoleGrowthUnlock_2402	RGU_HV_2401
2502	25	1	160	3	1	2501	upgrade_25_02	@RoleGrowthUnlock_2502	RGU_HV_2501
0103	1	1	120	1	1	0103	upgrade_01_03	@RoleGrowthUnlock_0103	
0203	2	1	120	1	1	0203	upgrade_02_03	@RoleGrowthUnlock_0203	
1103	11	1	120	1	1	1103	upgrade_11_03	@RoleGrowthUnlock_1103	
1203	12	1	120	1	1	1203	upgrade_12_03	@RoleGrowthUnlock_1203	
1303	13	1	120	1	1	1303	upgrade_13_03	@RoleGrowthUnlock_1303	
1603	16	1	120	1	1	1603	upgrade_16_03	@RoleGrowthUnlock_1603	
1703	17	1	120	1	1	1703	upgrade_17_03	@RoleGrowthUnlock_1703	
