id	nextstage	monsterid	reward	stagebg	buffdesc	spine	scale	關卡地圖背景	關卡名稱
1	2	0,20005,20001,20002,20003,20004	10000_1001_50,30000_7197_2,10000_1002_40375	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName001
2	3	0,20007,20019,20003,20009,20001	10000_1001_50,30000_7197_2,10000_1002_40375	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName002
3	4	0,20018,20001,20002,20011,20015	10000_1001_50,30000_7197_2,10000_1002_40375	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName003
4	5	0,20019,20016,20017,20012,20013	10000_1001_50,30000_7197_2,10000_1002_40375	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName004
5	6	0,20005,20012,20011,20017,20016	10000_1001_50,30000_7197_5,10000_1002_40375	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_17000	1	battle_bg_015	@TowerName005
6	7	0,20007,20008,20010,20011,20023	10000_1001_50,30000_7197_2,10000_1002_40375	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName006
7	8	0,20018,20019,20001,20002,20006	10000_1001_50,30000_7197_2,10000_1002_40375	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName007
8	9	0,20019,20005,20001,20006,20002	10000_1001_50,30000_7197_2,10000_1002_40375	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName008
9	10	0,20004,20008,20001,20009,20002	10000_1001_50,30000_7197_2,10000_1002_40375	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName009
10	11	0,20010,20008,20011,20013,20012	10000_1001_50,30000_7197_5,10000_1002_40375	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_13000	1	battle_bg_015	@TowerName010
11	12	0,20016,20017,20018,20015,20013	10000_1001_50,30000_7197_2,10000_1002_47505	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName011
12	13	0,20020,20008,20002,20006,20021	10000_1001_50,30000_7197_2,10000_1002_47505	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_06000	1	battle_bg_022	@TowerName012
13	14	0,20022,20005,20002,20003,20015	10000_1001_50,30000_7197_2,10000_1002_47505	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName013
14	15	0,20023,20018,20019,20009,20003	10000_1001_50,30000_7197_2,10000_1002_47505	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName014
15	16	0,20005,20006,20012,20011,20017	10000_1001_50,30000_7197_5,10000_1002_47505	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName015
16	17	0,20007,20014,20011,20012,20022	10000_1001_50,30000_7197_2,10000_1002_47505	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName016
17	18	0,20018,20011,20001,20017,20001	10000_1001_50,30000_7197_2,10000_1002_47505	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName017
18	19	0,20019,20018,20019,20021,20019	10000_1001_50,30000_7197_2,10000_1002_47505	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName018
19	20	0,20004,20002,20001,20002,20001	10000_1001_50,30000_7197_2,10000_1002_47505	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName019
20	21	0,20010,20002,20016,20006,20016	10000_1001_50,30000_7197_5,10000_1002_47505	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_06000	1	battle_bg_015	@TowerName020
21	22	0,20016,20019,20012,20008,20012	10000_1001_50,30000_7197_2,10000_1002_55885	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName021
22	23	0,20020,20012,20008,20013,20008	10000_1001_50,30000_7197_2,10000_1002_55885	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_13000	1	battle_bg_022	@TowerName022
23	24	0,20022,20011,20019,20015,20019	10000_1001_50,30000_7197_2,10000_1002_55885	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName023
24	25	0,20023,20001,20005,20008,20005	10000_1001_50,30000_7197_2,10000_1002_55885	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName024
25	26	0,20005,20019,20008,20009,20008	10000_1001_50,30000_7197_5,10000_1002_55885	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_015	@TowerName025
26	27	0,20007,20001,20008,20010,20008	10000_1001_50,30000_7197_2,10000_1002_55885	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_10000	1	battle_bg_022	@TowerName026
27	28	0,20018,20016,20017,20012,20017	10000_1001_50,30000_7197_2,10000_1002_55885	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName027
28	29	0,20019,20012,20008,20003,20008	10000_1001_50,30000_7197_2,10000_1002_55885	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName028
29	30	0,20004,20008,20005,20009,20005	10000_1001_50,30000_7197_2,10000_1002_55885	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_022	@TowerName029
30	31	0,20010,20019,20018,20011,20018	10000_1001_50,30000_7197_5,10000_1002_55885	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName030
31	32	0,20016,20005,20006,20012,20006	10000_1001_50,30000_7197_2,10000_1002_65750	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_12000	1	battle_bg_022	@TowerName031
32	33	0,20020,20019,20014,20017,20014	10000_1001_50,30000_7197_2,10000_1002_65750	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName032
33	34	0,20022,20001,20001,20021,20001	10000_1001_50,30000_7197_2,10000_1002_65750	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_21000	1	battle_bg_022	@TowerName033
34	35	0,20023,20016,20019,20002,20019	10000_1001_50,30000_7197_2,10000_1002_65750	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName034
35	36	0,20005,20012,20001,20006,20001	10000_1001_50,30000_7197_5,10000_1002_65750	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_06000	1	battle_bg_015	@TowerName035
36	37	0,20007,20008,20016,20008,20016	10000_1001_50,30000_7197_2,10000_1002_65750	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName036
37	38	0,20018,20019,20012,20013,20012	10000_1001_50,30000_7197_2,10000_1002_65750	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_13000	1	battle_bg_022	@TowerName037
38	39	0,20019,20005,20008,20015,20008	10000_1001_50,30000_7197_2,10000_1002_65750	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_15000	1	battle_bg_022	@TowerName038
39	40	0,20004,20008,20019,20008,20019	10000_1001_50,30000_7197_2,10000_1002_65750	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_08000	1	battle_bg_022	@TowerName039
40	41	0,20010,20008,20005,20011,20005	10000_1001_50,30000_7197_5,10000_1002_65750	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_015	@TowerName040
41	42	0,20016,20017,20008,20018,20008	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_18000	1	battle_bg_022	@TowerName041
42	43	0,20020,20008,20008,20022,20008	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_22000	1	battle_bg_022	@TowerName042
43	44	0,20022,20015,20017,20024,20017	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_24000	1	battle_bg_022	@TowerName043
44	45	0,20023,20008,20008,20017,20008	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_17000	1	battle_bg_022	@TowerName044
45	46	0,20005,20011,20005,20018,20005	10000_1001_50,30000_7197_5,10000_1002_77355	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_18000	1	battle_bg_015	@TowerName045
46	47	0,20007,20018,20018,20001,20018	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_01000	1	battle_bg_022	@TowerName046
47	48	0,20018,20022,20006,20002,20006	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_02000	1	battle_bg_022	@TowerName047
48	49	0,20019,20024,20014,20004,20014	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_04000	1	battle_bg_022	@TowerName048
49	50	0,20004,20017,20001,20003,20001	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_03000	1	battle_bg_022	@TowerName049
50	51	0,20010,20018,20019,20009,20019	10000_1001_50,30000_7197_5,10000_1002_77355	BG/UI/Tower_img2.png	600021	Spine/CharacterSpine,NG_09000	1	battle_bg_015	@TowerName050
51	52	0,20016,20001,20001,20011,20001	10000_1001_50,30000_7197_2,10000_1002_77355	BG/UI/Tower_img1.png	600021	Spine/CharacterSpine,NG_11000	1	battle_bg_022	@TowerName051
