id	type	item	price	discount	HeroID	SkinID	Sort	timeType	startTime	endTime
1	0	20000_01001_1	30000_6002_55	100	1	01001	1	1	2025-6-19_12:00:00	2025-6-25_23:59:59
3	0	20000_03001_1	30000_6002_55	100	3	03001	3	1	2025-4-10_15:00:00	2025-4-10_15:59:59
4	0	20000_04001_1	30000_6002_55	100	4	04001	4	1	2025-4-10_15:00:00	2025-4-10_15:59:59
5	0	20000_05001_1	30000_6002_55	100	5	05001	5	1	2025-4-10_15:00:00	2025-4-10_15:59:59
6	0	20000_06001_1	30000_6002_55	100	6	06001	6	1	2025-4-10_15:00:00	2025-4-10_15:59:59
7	0	20000_07001_1	30000_6002_55	100	7	07001	7	1	2025-4-10_15:00:00	2025-4-10_15:59:59
8	0	20000_08001_1	30000_6002_55	100	8	08001	8	1	2025-4-10_15:00:00	2025-4-10_15:59:59
11	0	20000_11001_1	30000_6002_55	100	11	11001	11	1	2025-4-10_15:00:00	2025-4-10_15:59:59
12	0	20000_12001_1	30000_6002_55	100	12	12001	12	1	2025-4-10_15:00:00	2025-4-10_15:59:59
13	0	20000_13001_1	30000_6002_55	100	13	13001	13	1	2025-4-10_15:00:00	2025-4-10_15:59:59
14	0	20000_14001_1	30000_6002_55	100	14	14001	14	1	2025-6-26_12:00:00	2025-7-2_23:59:59
15	0	20000_15001_1	30000_6002_55	100	15	15001	15	1	2025-4-10_15:00:00	2025-4-10_15:59:59
17	0	20000_17001_1	30000_6002_55	100	17	17001	17	1	2025-4-10_15:00:00	2025-4-10_15:59:59
18	0	20000_18001_1	30000_6002_55	100	18	18001	18	1	2025-4-10_15:00:00	2025-4-10_15:59:59
20	0	20000_20001_1	30000_6002_55	100	20	20001	20	1	2025-4-10_15:00:00	2025-4-10_15:59:59
23	0	20000_23001_1	30000_6002_55	100	23	23001	23	1	2025-4-10_15:00:00	2025-4-10_15:59:59
7100	0	20000_07100_1	30000_6002_15	100	7	07100	7100	1	2025-7-3_15:00:00	2025-7-16_11:59:59
16100	0	20000_16100_1	30000_6002_15	100	16	16100	16100	1	2025-7-3_15:00:00	2025-7-10_11:59:59
23100	0	20000_23100_1	30000_6002_15	100	23	23100	23100	1	2025-7-3_15:00:00	2025-7-10_11:59:59
1100	0	20000_01100_1	30000_6002_15	100	1	01100	1100	1	2025-7-10_13:00:00	2025-7-16_23:59:59
8100	0	20000_08100_1	30000_6002_15	100	8	08100	8100	1	2025-7-10_13:00:00	2025-7-16_23:59:59
9100	0	20000_09100_1	30000_6002_15	100	9	09100	9100	1	2025-7-10_13:00:00	2025-7-16_23:59:59
11100	0	20000_11100_1	30000_6002_15	100	11	11100	11100	1	2025-7-17_12:00:00	2025-7-23_23:59:00
13100	0	20000_13100_1	30000_6002_15	100	13	13100	13100	1	2025-7-17_12:00:00	2025-7-23_23:59:00
3100	0	20000_03100_1	30000_6002_15	100	3	03100	3100	1	2025-7-21_00:00:00	2025-7-27_11:00:00
2100	0	20000_02100_1	30000_6002_15	100	2	02100	2100	1	2025-7-21_00:00:00	2025-7-27_11:00:00
10100	0	20000_10100_1	30000_6002_15	100	10	10100	10100	1	2025-7-24_12:00:00	2025-7-30_23:59:00
12100	0	20000_12100_1	30000_6002_15	100	12	12100	12100	1	2025-7-24_12:00:00	2025-7-30_23:59:00
18100	0	20000_18100_1	30000_6002_15	100	18	18100	18100	1	2025-7-28_00:00:00	2025-8-3_11:00:00
19100	0	20000_19100_1	30000_6002_15	100	19	19100	19100	1	2025-7-28_00:00:00	2025-8-3_11:00:00
22100	0	20000_22100_1	30000_6002_15	100	22	22100	22100	1	2025-7-31_12:00:00	2025-8-6_23:59:00
24100	0	20000_24100_1	30000_6002_15	100	24	24100	24100	1	2025-7-31_12:00:00	2025-8-6_23:59:00
17100	0	20000_17100_1	30000_6002_15	100	17	17100	17100	1	2025-8-4_00:00:00	2025-8-10_11:00:00
4100	0	20000_04100_1	30000_6002_15	100	4	04100	4100	1	2025-8-4_00:00:00	2025-8-10_11:00:00
21100	1	20000_21100_1	30000_6002_15	100	21	21100	21100	0	2025-7-29_00:00:00	2099-7-29_00:00:00
