id	nextid	star	type	monsterIds	dropItems	unlockTime	replay	關卡名字(name)	關卡banner文字圖片	關卡地圖背景	劇情BANNER
1	2	1	1	0,202011,202012,202013,202014,202015	30000_3001_2,30000_6999_100	0	0	@activitystage11	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
2	3	2	1	0,202021,202022,202023,202024,202025	30000_3501_2,30000_6999_100	0	0	@activitystage12	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
3	4	3	1	0,202031,202032,202033,202034,202035	30000_3801_1,30000_6999_100	0	0	@activitystage13	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
4	5	4	1	0,202041,202042,202043,202044,202045	30000_3001_2,30000_6999_100	0	1	@activitystage14	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
5	6	5	1	0,202051,202052,202053,202054,202055	30000_3501_2,30000_6999_100	0	0	@activitystage15	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
6	7	6	1	0,202061,202062,202063,202064,202065	30000_3801_1,30000_6999_100	0	0	@activitystage16	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
7	8	7	1	0,202071,202072,202073,202074,202075	30000_3501_2,30000_6999_100	0	1	@activitystage17	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
8	9	8	1	0,202081,202082,202083,202084,202085	30000_3001_2,30000_6999_100	0	0	@activitystage18	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
9	10	9	1	0,202091,202092,202093,202094,202095	30000_3801_1,30000_6999_100	0	0	@activitystage19	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
10	11	10	1	0,202101,202102,202103,202104,202105	30000_3801_1,30000_6999_100	0	1	@activitystage110	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
11	12	11	1	0,202111,202112,202113,202114,202115	30000_3501_2,30000_6999_100	0	0	@activitystage111	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
12	13	12	1	0,202121,202122,202123,202124,202125	30000_3001_2,30000_6999_100	0	0	@activitystage112	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
13	14	1	2	0,302011,302012,302013,302014,302015	30000_3002_2,30000_6999_100	168	0	@activitystage11	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
14	15	2	2	0,302021,302022,302023,302024,302025	30000_3502_2,30000_6999_100	168	0	@activitystage12	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
15	16	3	2	0,302031,302032,302033,302034,302035	30000_3802_1,30000_6999_100	168	0	@activitystage13	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
16	17	4	2	0,302041,302042,302043,302044,302045	30000_3002_2,30000_6999_100	168	1	@activitystage14	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
17	18	5	2	0,302051,302052,302053,302054,302055	30000_3502_2,30000_6999_100	168	0	@activitystage15	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
18	19	6	2	0,302061,302062,302063,302064,302065	30000_3802_1,30000_6999_100	168	0	@activitystage16	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
19	20	7	2	0,302071,302072,302073,302074,302075	30000_3502_2,30000_6999_100	168	1	@activitystage17	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
20	21	8	2	0,302081,302082,302083,302084,302085	30000_3002_2,30000_6999_100	168	0	@activitystage18	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
21	22	9	2	0,302091,302092,302093,302094,302095	30000_3802_1,30000_6999_100	168	0	@activitystage19	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
22	23	10	2	0,302101,302102,302103,302104,302105	30000_3802_1,30000_6999_100	168	1	@activitystage110	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
23	24	11	2	0,302111,302112,302113,302114,302115	30000_3502_2,30000_6999_100	168	0	@activitystage111	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_014	BG/NGEvent/AlbumReview_003_Event.png
24	0	12	2	0,302121,302122,302123,302124,302125	30000_3002_2,30000_6999_100	168	0	@activitystage112	BG/NGEvent_002/Event002_Img02_01.png	battle_bg_011	BG/NGEvent/AlbumReview_003_Event.png
