id	rank	rare	starrare	afterid	名字	图片	基础属性	隨機属性	是否有技能
110	1	1	1	210	@Rune_1	Rune_1_1.png	113_820		0
111	1	1	1	210	@Rune_1	Rune_1_1.png	113_820,101_8365		0
112	1	1	1	210	@Rune_1	Rune_1_1.png	113_820,106_521		0
113	1	1	1	210	@Rune_1	Rune_1_1.png	113_820,107_521		0
114	1	1	1	210	@Rune_1	Rune_1_1.png	113_820,111_95		0
115	1	1	1	210	@Rune_1	Rune_1_1.png	113_820,108_137		0
116	1	1	1	210	@Rune_1	Rune_1_1.png	113_820,109_212		0
117	1	1	1	210	@Rune_1	Rune_1_1.png	113_820,110_171		0
120	1	1	1	220	@Rune_1	Rune_1_2.png	114_820		0
121	1	1	1	220	@Rune_1	Rune_1_2.png	114_820,101_8365		0
122	1	1	1	220	@Rune_1	Rune_1_2.png	114_820,106_521		0
123	1	1	1	220	@Rune_1	Rune_1_2.png	114_820,107_521		0
124	1	1	1	220	@Rune_1	Rune_1_2.png	114_820,111_95		0
125	1	1	1	220	@Rune_1	Rune_1_2.png	114_820,108_137		0
126	1	1	1	220	@Rune_1	Rune_1_2.png	114_820,109_212		0
127	1	1	1	220	@Rune_1	Rune_1_2.png	114_820,110_171		0
210	2	1	2	310	@Rune_2	Rune_2_1.png	113_983	101_10038_143,106_625_143,107_625_143,111_115_143,108_164_143,109_255_143,110_205_142	0
211	2	1	2	310	@Rune_2	Rune_2_1.png	113_983,101_10038		0
212	2	1	2	310	@Rune_2	Rune_2_1.png	113_983,106_625		0
213	2	1	2	310	@Rune_2	Rune_2_1.png	113_983,107_625		0
214	2	1	2	310	@Rune_2	Rune_2_1.png	113_983,111_115		0
215	2	1	2	310	@Rune_2	Rune_2_1.png	113_983,108_164		0
216	2	1	2	310	@Rune_2	Rune_2_1.png	113_983,109_255		0
217	2	1	2	310	@Rune_2	Rune_2_1.png	113_983,110_205		0
220	2	1	2	320	@Rune_2	Rune_2_2.png	114_983	101_10038_143,106_625_143,107_625_143,111_115_143,108_164_143,109_255_143,110_205_142	0
221	2	1	2	320	@Rune_2	Rune_2_2.png	114_983,101_10038		0
222	2	1	2	320	@Rune_2	Rune_2_2.png	114_983,106_625		0
223	2	1	2	320	@Rune_2	Rune_2_2.png	114_983,107_625		0
224	2	1	2	320	@Rune_2	Rune_2_2.png	114_983,111_115		0
225	2	1	2	320	@Rune_2	Rune_2_2.png	114_983,108_164		0
226	2	1	2	320	@Rune_2	Rune_2_2.png	114_983,109_255		0
227	2	1	2	320	@Rune_2	Rune_2_2.png	114_983,110_205		0
310	3	2	1	410	@Rune_3	Rune_3_1.png	113_1180	101_12046_143,106_750_143,107_750_143,111_138_143,108_197_143,109_306_143,110_246_142	0
311	3	2	1	410	@Rune_3	Rune_3_1.png	113_1180,106_750		0
312	3	2	1	410	@Rune_3	Rune_3_1.png	113_1180,107_750		0
313	3	2	1	410	@Rune_3	Rune_3_1.png	113_1180,111_138		0
314	3	2	1	410	@Rune_3	Rune_3_1.png	113_1180,108_197		0
315	3	2	1	410	@Rune_3	Rune_3_1.png	113_1180,109_306		0
316	3	2	1	410	@Rune_3	Rune_3_1.png	113_1180,110_246		0
317	3	2	1	410	@Rune_3	Rune_3_1.png	113_2360,110_492		0
320	3	2	1	420	@Rune_3	Rune_3_2.png	114_1180	101_12046_143,106_750_143,107_750_143,111_138_143,108_197_143,109_306_143,110_246_142	0
321	3	2	1	420	@Rune_3	Rune_3_2.png	114_1180,101_12046		0
322	3	2	1	420	@Rune_3	Rune_3_2.png	114_1180,106_750		0
323	3	2	1	420	@Rune_3	Rune_3_2.png	114_1180,107_750		0
