id	isOpen	name	part	部位	quality	level	profession	smeltGain	costItem1	costItem2	costCoin	costReo	washCoinCost	equipAttr	装备图标	打孔消耗	星级	套装	套装品阶	进化材料	进化ID	套装副属性	升级装备ID	升级固定材料	升级优先材料	升级混合材料	升级可变材料总数	套装分解	装备评分	专属id
1001	1	@Equip_Name_1001	@EquipPart_5	5	1	1	0	0	0	0	0	0	0	113_150_150,114_150_150,108_60_60	equipment/NG_E_1001.png	0	1	0	0	0	0	0	0		0	0	0	0	93	0
1002	1	@Equip_Name_1002	@EquipPart_5	5	2	1	0	0	0	0	0	0	0	113_188_188,114_188_188,108_75_75	equipment/NG_E_1002.png	0	1	0	0	0	0	0	0	40000_1001_3,10000_1002_500	0	0	0	0	134	0
1003	1	@Equip_Name_1003	@EquipPart_5	5	2	1	0	0	0	0	0	0	0	113_235_235,114_235_235,108_94_94	equipment/NG_E_1003.png	0	2	0	0	0	0	0	0	40000_1002_3,10000_1002_1500	0	0	0	0	160	0
1004	1	@Equip_Name_1004	@EquipPart_5	5	3	1	0	0	0	0	0	0	0	113_293_293,114_293_293,108_118_118	equipment/NG_E_1004.png	0	1	0	0	0	0	0	0	40000_1003_3,10000_1002_4500	0	0	0	0	267	0
1005	1	@Equip_Name_1005	@EquipPart_5	5	3	1	0	0	0	0	0	0	0	113_367_367,114_367_367,108_147_147	equipment/NG_E_1005.png	0	2	0	0	0	0	0	0	40000_1004_3,10000_1002_13500	0	0	0	0	333	0
1006	1	@Equip_Name_1006	@EquipPart_5	5	4	1	0	0	0	0	0	0	0	113_458_458,114_458_458,108_184_184	equipment/NG_E_1006.png	0	1	0	0	0	0	0	0	40000_1005_3,10000_1002_40500	0	0	0	0	665	0
1007	1	@Equip_Name_1007	@EquipPart_5	5	4	1	0	0	0	0	0	0	0	113_573_573,114_573_573,108_229_229	equipment/NG_E_1007.png	0	2	0	0	0	0	0	0	40000_1006_3,10000_1002_121500	0	0	0	0	864	0
1008	1	@Equip_Name_1008	@EquipPart_5	5	4	1	0	0	0	0	0	0	0	113_716_716,114_716_716,108_287_287	equipment/NG_E_1008.png	0	3	0	0	0	0	0	0	40000_1007_3,10000_1002_364500	0	0	0	0	1089	0
1009	1	@Equip_Name_1009	@EquipPart_5	5	5	1	0	0	0	0	0	0	0	113_895_895,114_895_895,108_358_358	equipment/NG_E_1009.png	0	1	1	0	0	0	0	0	40000_1008_3,10000_1002_456000	0	0	0	0	1661	0
1010	1	@Equip_Name_1010	@EquipPart_5	5	5	1	0	0	0	0	0	0	0	113_1118_1118,114_1118_1118,108_448_448	equipment/NG_E_1010.png	0	2	2	0	0	0	0	0	40000_1009_3,10000_1002_570000	0	0	0	0	2061	0
1011	1	@Equip_Name_1011	@EquipPart_5	5	5	1	0	0	0	0	0	0	0	113_1397_1397,114_1397_1397,108_559_559	equipment/NG_E_1011.png	0	3	3	0	0	0	0	0	40000_1010_3,10000_1002_713000	0	0	0	0	2524	0
1012	1	@Equip_Name_1012	@EquipPart_5	5	5	1	0	0	0	0	0	0	0	113_1747_1747,114_1747_1747,108_699_699	equipment/NG_E_1012.png	0	4	4	0	0	0	0	0	40000_1011_3,10000_1002_892000	0	0	0	0	3057	0
1013	1	@Equip_Name_1013	@EquipPart_5	5	6	1	0	0	0	0	0	0	0	113_2183_2183,114_2183_2183,108_874_874	equipment/NG_E_1013.png	0	1	5	0	0	0	0	0	40000_1012_3,10000_1002_1115000	0	0	0	0	3986	0
1014	1	@Equip_Name_1014	@EquipPart_5	5	6	1	0	0	0	0	0	0	0	113_2729_2729,114_2729_2729,108_1092_1092	equipment/NG_E_1014.png	0	2	6	0	0	0	0	0	40000_1013_3,10000_1002_1394000	0	0	0	0	4783	0
