id	type	costItem	costCoin
1	1	30000_7182_100	10000
2	1	30000_7182_102	10100
3	1	30000_7182_103	10200
4	1	30000_7182_104	10300
5	1	30000_7182_105	10400
6	1	30000_7182_106	10500
7	1	30000_7182_107	10600
8	1	30000_7182_108	10700
9	1	30000_7182_109	10800
10	1	30000_7182_110	10900
11	1	30000_7182_111	11000
12	1	30000_7182_112	11100
13	1	30000_7182_113	11200
14	1	30000_7182_114	11300
15	1	30000_7182_115	11400
16	1	30000_7182_116	11500
17	1	30000_7182_117	11600
18	1	30000_7182_118	11700
19	1	30000_7182_119	11800
20	1	30000_7182_120	11900
21	1	30000_7182_121	12000
22	1	30000_7182_122	12100
23	1	30000_7182_123	12200
24	1	30000_7182_124	12300
25	1	30000_7182_125	12400
26	1	30000_7182_126	12500
27	1	30000_7182_127	12600
28	1	30000_7182_128	12700
29	1	30000_7182_129	12800
30	1	30000_7182_130	12900
31	1	30000_7182_132	13000
32	1	30000_7182_268	26400
33	1	30000_7182_272	26800
34	1	30000_7182_276	27200
35	1	30000_7182_280	27600
36	1	30000_7182_284	28000
37	1	30000_7182_288	28400
38	1	30000_7182_292	28800
39	1	30000_7182_296	29200
40	1	30000_7182_300	29600
41	1	30000_7182_304	30000
42	1	30000_7182_308	30400
43	1	30000_7182_312	30800
44	1	30000_7182_316	31200
45	1	30000_7182_320	31600
46	1	30000_7182_324	32000
47	1	30000_7182_328	32400
48	1	30000_7182_332	32800
49	1	30000_7182_336	33200
50	1	30000_7182_340	33600
51	1	30000_7182_344	34000
52	1	30000_7182_348	34400
53	1	30000_7182_352	34800
54	1	30000_7182_356	35200
55	1	30000_7182_360	35600
56	1	30000_7182_364	36000
57	1	30000_7182_368	36400
58	1	30000_7182_372	36800
59	1	30000_7182_376	37200
60	1	30000_7182_380	37600
61	1	30000_7182_386	38000
62	1	30000_7182_588	57900
63	1	30000_7182_597	58800
64	1	30000_7182_606	59700
65	1	30000_7182_615	60600
66	1	30000_7182_624	61500
67	1	30000_7182_633	62400
68	1	30000_7182_642	63300
69	1	30000_7182_651	64200
70	1	30000_7182_660	65100
71	1	30000_7182_669	66000
72	1	30000_7182_678	66900
73	1	30000_7182_687	67800
74	1	30000_7182_696	68700
75	1	30000_7182_705	69600
76	1	30000_7182_714	70500
77	1	30000_7182_723	71400
78	1	30000_7182_732	72300
79	1	30000_7182_741	73200
80	1	30000_7182_750	74100
81	1	30000_7182_765	75000
82	1	30000_7182_1300	127500
83	1	30000_7182_1325	130000
84	1	30000_7182_1350	132500
85	1	30000_7182_1375	135000
86	1	30000_7182_1400	137500
87	1	30000_7182_1425	140000
88	1	30000_7182_1450	142500
89	1	30000_7182_1475	145000
90	1	30000_7182_1500	147500
91	1	30000_7182_1525	150000
92	1	30000_7182_1550	152500
93	1	30000_7182_1575	155000
94	1	30000_7182_1600	157500
95	1	30000_7182_1625	160000
96	1	30000_7182_1650	162500
97	1	30000_7182_1675	165000
98	1	30000_7182_1700	167500
99	1	30000_7182_1725	170000
100	1	30000_7182_1750	172500
