ID	TYPE	SPINE	Define	Position	Wait	Transform	Rotate	Scale	Time	Parent	SpawnId
99999901	18	AVG_V_AC9999	0	0	0	0	0	1	0		
10110101	12	BG/AVG/avg_bg_001.jpg	0	0	0.5	0	0	1	0		
10110201	0		0	0	0	0	0	1	0		
10110301	0		0	0	0	0	0	1	0		
10110401	0		0	0	0	0	0	1	0		
10110501	4	F9	0	0	0	0	0	1	0		
10110502	12	BG/AVG/avg_bg_112.jpg	0	0	0.5	0	0	1	0		
10110503	13		0	0	0.5	0	0	1	0		
10110601	9	F03,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10110701	0		0	0	0	0	0	1	0		
10110801	14	0	2	0	0	0	0	1	0		
10110901	14	1	2	0	0	0	0	1	0		
10111001	0		0	0	0	0	0	1	0		
10111101	14	0	2	0	0	0	0	1	0		
10111201	14	1	2	0	0	0	0	1	0		
10111301	0		0	0	0	0	0	1	0		
10111401	14	0	2	0	0	0	0	1	0		
10111501	0		0	0	0	0	0	1	0		
10111601	9	F03,Spine/NG2D_nobg,AVG_01701	1	-250,0	0	0	0	1	0		
10111701	14	0	1	0	0	0	0	1	0		
10111801	14	1	1	0	0	0	0	1	0		
10111802	1	F04	1	0	0	0	0	1	0		
10111901	1	A00	1	0	0	0	0	1	0		
10112001	0		0	0	0	0	0	1	0		
10112101	14	0	1	0	0	0	0	1	0		
10112201	9	A00,Spine/NG2D_nobg,AVG_01301	2	250,0	0	0	0	1	0		
10112301	0		0	0	0	0	0	1	0		
10112401	14	0	2	0	0	0	0	1	0		
10112501	14	1	1	0	0	0	0	1	0		
10112601	0		0	0	0	0	0	1	0		
10112701	14	0	1	0	0	0	0	1	0		
10112702	14	1	2	0	0	0	0	1	0		
10112801	0		0	0	0	0	0	1	0		
10112901	0		0	0	0	0	0	1	0		
10113001	14	1	1	0	0	0	0	1	0		
10113002	14	0	2	0	0	0	0	1	0		
10113101	0		0	0	0	0	0	1	0		
10113201	14	0	1	0	0	0	0	1	0		
10113301	9	F03,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10113401	14	0	2	0	0	0	0	1	0		
10120101	9	F01,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10120201	0		0	0	0	0	0	1	0		
10120301	14	0	2	0	0	0	0	1	0		
10120401	0		0	0	0	0	0	1	0		
10120501	9	F03,Spine/NG2D_nobg,AVG_01701	1	-250,0	0	0	0	1	0		
10120601	14	0	1	0	0	0	0	1	0		
10120701	0		0	0	0	0	0	1	0		
10120801	0		0	0	0	0	0	1	0		
10120901	14	1	1	0	0	0	0	1	0		
10120902	1	A00	1	0	0	0	0	1	0		
10121001	0		0	0	0	0	0	1	0		
10121101	0		0	0	0	0	0	1	0		
10121201	0		0	0	0	0	0	1	0		
10121301	14	0	1	0	0	0	0	1	0		
10121302	9	A00,Spine/NG2D_nobg,AVG_01301	2	250,0	0	0	0	1	0		
10121401	0		0	0	0	0	0	1	0		
10121501	0		0	0	0	0	0	1	0		
10121601	14	0	2	0	0	0	0	1	0		
10121701	14	1	2	0	0	0	0	1	0		
10121801	0		0	0	0	0	0	1	0		
10121901	0		0	0	0	0	0	1	0		
10122001	0		0	0	0	0	0	1	0		
10122101	0		0	0	0	0	0	1	0		
10122201	14	0	2	0	0	0	0	1	0		
10122301	14	1	2	0	0	0	0	1	0		
10122401	0		0	0	0	0	0	1	0		
10122501	0		0	0	0	0	0	1	0		
10122601	14	0	2	0	0	0	0	1	0		
10122701	14	1	2	0	0	0	0	1	0		
10122801	0		0	0	0	0	0	1	0		
10122901	14	1	1	0	0	0	0	1	0		
10122902	14	0	2	0	0	0	0	1	0		
10123001	10		1	0	0	0	0	1	0		
10123002	10		2	0	0	0	0	1	0		
10123003	4	F9	0	0	0	0	0	1	0		
10123004	12	BG/AVG/avg_bg_9905.jpg	0	0	0.5	0	0	1	0		
10123101	0		0	0	0	0	0	1	0		
10123201	4	F9	0	0	0	0	0	1	0		
10123202	12	BG/AVG/avg_bg_9906.jpg	0	0	0.5	0	0	1	0		
10123301	0		0	0	0	0	0	1	0		
10123401	0		0	0	0	0	0	1	0		
10123501	0		0	0	0	0	0	1	0		
10123601	0		0	0	0	0	0	1	0		
10123701	0		0	0	0	0	0	1	0		
10123801	0		0	0	0	0	0	1	0		
10123901	4	F9	0	0	0	0	0	1	0		
10123902	12	BG/AVG/avg_bg_112.jpg	0	0	0.5	0	0	1	0		
10123903	9	F04,Spine/NG2D_nobg,AVG_01701	1	0,0	0	0	0	1	0		
10124001	14	0	1	0	0	0	0	1	0		
10124101	14	1	1	0	0	0	0	1	0		
10124102	1	A00	1	0	0	0	0	1	0		
10124201	0		0	0	0	0	0	1	0		
10124301	14	0	1	0	0	0	0	1	0		
10124401	14	1	1	0	0	0	0	1	0		
10124501	0		0	0	0	0	0	1	0		
10124601	14	0	1	0	0	0	0	1	0		
10124701	0		0	0	0	0	0	1	0		
10124801	14	1	1	0	0	0	0	1	0		
10124901	14	0	1	0	0	0	0	1	0		
10125001	14	1	1	0	0	0	0	1	0		
10125101	0		0	0	0	0	0	1	0		
10310101	12	BG/AVG/avg_bg_9907.jpg	0	0	0.5	0	0	1	0		
10310201	0		0	0	0	0	0	1	0		
10310301	0		0	0	0	0	0	1	0		
10310401	0		0	0	0	0	0	1	0		
10310501	0		0	0	0	0	0	1	0		
10310601	0		0	0	0	0	0	1	0		
10310701	0		0	0	0	0	0	1	0		
10310801	0		0	0	0	0	0	1	0		
10310901	0		0	0	0	0	0	1	0		
10311001	0		0	0	0	0	0	1	0		
10311101	0		0	0	0	0	0	1	0		
10410101	12	BG/AVG/avg_bg_9908.jpg	0	0	0.5	0	0	1	0		
10410201	0		0	0	0	0	0	1	0		
10410301	0		0	0	0	0	0	1	0		
10410401	0		0	0	0	0	0	1	0		
10410501	0		0	0	0	0	0	1	0		
10410601	0		0	0	0	0	0	1	0		
10410701	0		0	0	0	0	0	1	0		
10410801	0		0	0	0	0	0	1	0		
10410901	0		0	0	0	0	0	1	0		
10411001	0		0	0	0	0	0	1	0		
10411101	0		0	0	0	0	0	1	0		
10411201	4	F9	0	0	0	0	0	1	0		
10411202	12	BG/AVG/avg_bg_113.jpg	0	0	0.5	0	0	1	0		
10411203	9	F03,Spine/NG2D_nobg,AVG_01701	1	-250,0	0	0	0	1	0		
10411301	14	0	1	0	0	0	0	1	0		
10411401	14	1	1	0	0	0	0	1	0		
10411501	0		0	0	0	0	0	1	0		
10411601	9	F04,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10411602	14	0	1	0	0	0	0	1	0		
10411701	0		0	0	0	0	0	1	0		
10411801	14	0	2	0	0	0	0	1	0		
10411901	14	1	2	0	0	0	0	1	0		
10411902	1	F02	2	0	0	0	0	1	0		
10412001	0		0	0	0	0	0	1	0		
10412101	14	0	2	0	0	0	0	1	0		
10412201	0		0	0	0	0	0	1	0		
10412301	0		0	0	0	0	0	1	0		
10412401	14	1	1	0	0	0	0	1	0		
10412402	1	A00	1	0	0	0	0	1	0		
10412501	14	0	1	0	0	0	0	1	0		
10412601	0		0	0	0	0	0	1	0		
10412701	14	1	1	0	0	0	0	1	0		
10412801	9	A00,Spine/NG2D_nobg,AVG_01301	2	250,0	0	0	0	1	0		
10412802	14	0	1	0	0	0	0	1	0		
10412901	14	1	1	0	0	0	0	1	0		
10412902	1	F04	1	0	0	0	0	1	0		
10413001	0		0	0	0	0	0	1	0		
10413101	14	1	2	0	0	0	0	1	0		
10413201	0		0	0	0	0	0	1	0		
10413301	14	0	2	0	0	0	0	1	0		
10413401	14	1	2	0	0	0	0	1	0		
10413501	0		0	0	0	0	0	1	0		
10413601	0		0	0	0	0	0	1	0		
10413701	14	1	1	0	0	0	0	1	0		
10413702	1	F03	1	0	0	0	0	1	0		
10413703	14	0	2	0	0	0	0	1	0		
10413801	14	1	2	0	0	0	0	1	0		
10413802	14	0	1	0	0	0	0	1	0		
10413901	0		0	0	0	0	0	1	0		
10414001	14	1	1	0	0	0	0	1	0		
10414002	14	0	2	0	0	0	0	1	0		
10414101	14	1	2	0	0	0	0	1	0		
10414102	14	0	1	0	0	0	0	1	0		
10414201	0		0	0	0	0	0	1	0		
10414301	0		0	0	0	0	0	1	0		
10414401	0		0	0	0	0	0	1	0		
10414501	14	1	1	0	0	0	0	1	0		
10414502	14	0	2	0	0	0	0	1	0		
10414601	14	1	2	0	0	0	0	1	0		
10414602	14	0	1	0	0	0	0	1	0		
10414701	0		0	0	0	0	0	1	0		
10414801	15		0	0	0.5	0	0	1	5		
10414802	13		0	0	0.5	0	0	1	0		
10414901	14	1	1	0	0	0	0	1	0		
10414902	14	0	2	0	0	0	0	1	0		
10415001	14	0	1	0	0	0	0	1	0		
10415101	0		0	0	0	0	0	1	0		
10415201	0		0	0	0	0	0	1	0		
10415301	0		0	0	0	0	0	1	0		
10415401	0		0	0	0	0	0	1	0		
10415501	0		0	0	0	0	0	1	0		
10415601	0		0	0	0	0	0	1	0		
10620101	9	F02,Spine/NG2D_nobg,AVG_00201	2	250,0	0	0	0	1	0		
10620201	14	0	2	0	0	0	0	1	0		
10620301	14	1	2	0	0	0	0	1	0		
10620401	14	0	2	0	0	0	0	1	0		
10620501	0		0	0	0	0	0	1	0		
10620601	14	1	2	0	0	0	0	1	0		
10620701	14	0	2	0	0	0	0	1	0		
10620801	0		0	0	0	0	0	1	0		
10620901	0		0	0	0	0	0	1	0		
10621001	9	F02,Spine/NG2D_nobg,AVG_01701	1	-250,0	0	0	0	1	0		
10621101	14	0	1	0	0	0	0	1	0		
10621201	14	1	1	0	0	0	0	1	0		
10621301	14	0	1	0	0	0	0	1	0		
10621401	10		1	0	0	0	0	1	0		
10621402	10		2	0	0	0	0	1	0		
10621403	4	F9	0	0	0	0	0	1	0		
10621404	12	BG/AVG/avg_bg_9910.jpg	0	0	0.5	0	0	1	0		
10621501	15		0	0	0.5	0	0	1	4		
10621601	0		0	0	0	0	0	1	0		
10621701	0		0	0	0	0	0	1	0		
10621801	0		0	0	0	0	0	1	0		
10621901	0		0	0	0	0	0	1	0		
10622001	16	F2	0	0	0	0	0	1	0		
10622002	15		0	0	0.5	0	0	1	4		
10622101	0		0	0	0	0	0	1	0		
10622201	0		0	0	0	0	0	1	0		
10622301	0		0	0	0	0	0	1	0		
10622401	4	F9	0	0	0	0	0	1	0		
10622402	12	BG/AVG/avg_bg_113.jpg	0	0	0.5	0	0	1	0		
10622501	9	F02,Spine/NG2D_nobg,AVG_00201	2	-250,0	0	0	0	1	0		
10622601	14	0	2	0	0	0	0	1	0		
10622701	14	1	2	0	0	0	0	1	0		
10622702	1	F04	2	0	0	0	0	1	0		
