ID	TYPE	SPINE	Define	Position	Wait	Transform	Rotate	Scale	Time	Parent	SpawnId
99999901	18	AVG_V_5_AC9999	0	0	0	0	0	1	0		
10110101	12	BG/AVG/avg_bg_112.jpg	0	0	0.5	0	0	1	0		
10110201	0		0	0	0	0	0	1	0		
10110301	0		0	0	0	0	0	1	0		
10110401	0		0	0	0	0	0	1	0		
10110501	0		0	0	0	0	0	1	0		
10110601	0		0	0	0	0	0	1	0		
10110701	0		0	0	0	0	0	1	0		
10110801	0		0	0	0	0	0	1	0		
10110901	0		0	0	0	0	0	1	0		
10111001	0		0	0	0	0	0	1	0		
10111101	0		0	0	0	0	0	1	0		
10111201	4	F9	0	0	0	0	0	1	0		
10111202	12	BG/AVG/avg_bg_084.jpg	0	0	0.5	0	0	1	0		
10111203	13		0	0	1	0	0	1	0		
10111301	9	F02,Spine/NG2D_nobg,AVG_00101	1	-250,0	0	0	0	1	0		
10111302	14	1	1	0	0	0	0	1	0		
10111401	14	0	1	0	0	0	0	1	0		
10111501	0		0	0	0	0	0	1	0		
10111601	16	F2	0	0	0	0	0	1	0		
10111602	15		0	0	0.5	0	0	1	6		
10111603	13		0	0	0.5	0	0	1	0		
10111701	14	1	1	0	0	0	0	1	0		
10111702	1	F04	1	0	0	0	0	1	0		
10111801	1	F02	1	0	0	0	0	1	0		
10111901	0		0	0	0	0	0	1	0		
10112001	16	F2	0	0	0	0	0	1	0		
10112002	15		0	0	0.5	0	0	1	6		
10112003	13		0	0	0.5	0	0	1	0		
10112101	14	0	1	0	0	0	0	1	0		
10112201	0		0	0	0	0	0	1	0		
10112301	0		0	0	0	0	0	1	0		
10112401	0		0	0	0	0	0	1	0		
10112501	9	F02,Spine/NG2D_nobg,AVG_01701	2	250,0	0	0	0	1	0		
10112502	14	1	2	0	0	0	0	1	0		
10112601	0		0	0	0	0	0	1	0		
10112701	0		0	0	0	0	0	1	0		
10112801	16	F2	0	0	0	0	0	1	0		
10112802	15		0	0	0.5	0	0	1	6		
10112803	13		0	0	0.5	0	0	1	0		
10112901	14	0	2	0	0	0	0	1	0		
10113001	0		0	0	0	0	0	1	0		
10113101	0		0	0	0	0	0	1	0		
10113201	10		2	0	0	0	0	1	0		
10113202	9	F01,Spine/NG2D_nobg,AVG_00201	2	250,0	0.3	0	0	1	0		
10113203	14	1	2	0	0	0	0	1	0		
10113301	0		0	0	0	0	0	1	0		
10113401	14	0	2	0	0	0	0	1	0		
10113402	14	1	1	0	0	0	0	1	0		
10113403	1	F01	1	0	0	0	0	1	0		
10113501	0		0	0	0	0	0	1	0		
10113601	0		0	0	0	0	0	1	0		
10113701	14	0	1	0	0	0	0	1	0		
10113801	0		0	0	0	0	0	1	0		
10113901	14	1	2	0	0	0	0	1	0		
10114001	10		1	0	0	0	0	1	0		
10114002	9	A00,Spine/NG2D_nobg,AVG_00701	1	-200,0	0.3	0	0	1	0		
10114003	14	1	1	0	0	0	0	1	0		
10114004	14	0	2	0	0	0	0	1	0		
10114101	14	1	2	0	0	0	0	1	0		
10114102	14	0	1	0	0	0	0	1	0		
10114201	0		0	0	0	0	0	1	0		
10114301	14	1	1	0	0	0	0	1	0		
10114302	14	0	2	0	0	0	0	1	0		
10114401	1	F05	1	0	0	0	0	1	0		
10114501	14	0	1	0	0	0	0	1	0		
10114601	14	1	1	0	0	0	0	1	0		
10114602	1	A00	1	0	0	0	0	1	0		
10114701	0		0	0	0	0	0	1	0		
10114801	0		0	0	0	0	0	1	0		
10114901	14	0	1	0	0	0	0	1	0		
10115001	14	1	1	0	0	0	0	1	0		
10115101	0		0	0	0	0	0	1	0		
10115201	14	0	1	0	0	0	0	1	0		
10115301	0		0	0	0	0	0	1	0		
10115401	14	1	1	0	0	0	0	1	0		
10115501	0		0	0	0	0	0	1	0		
10115601	10		1	0	0	0	0	1	0		
10115602	10		2	0	0	0	0	1	0		
10115603	4	F9	0	0	0	0	0	1	0		
10115604	12	BG/AVG/avg_bg_9978.jpg	0	0	0.5	0	0	1	0		
10115605	13		0	0	1	0	0	1	0		
10115701	0		0	0	0	0	0	1	0		
10115801	0		0	0	0	0	0	1	0		
10115901	0		0	0	0	0	0	1	0		
10116001	0		0	0	0	0	0	1	0		
10116101	0		0	0	0	0	0	1	0		
10116201	0		0	0	0	0	0	1	0		
10116301	0		0	0	0	0	0	1	0		
10116401	0		0	0	0	0	0	1	0		
10116501	4	F9	0	0	0	0	0	1	0		
10116502	12	BG/AVG/avg_bg_084.jpg	0	0	0.5	0	0	1	0		
10116503	13		0	0	1	0	0	1	0		
10116601	0		0	0	0	0	0	1	0		
10116701	0		0	0	0	0	0	1	0		
10116801	0		0	0	0	0	0	1	0		
10116901	0		0	0	0	0	0	1	0		
10117001	0		0	0	0	0	0	1	0		
10117101	9	F03,Spine/NG2D_nobg,AVG_00201	1	0,0	0	0	0	1	0		
10117102	14	1	1	0	0	0	0	1	0		
10117201	14	0	1	0	0	0	0	1	0		
10117301	0		0	0	0	0	0	1	0		
10117401	16	F2	0	0	0	0	0	1	0		
10117402	15		0	0	0.5	0	0	1	6		
10117403	13		0	0	0.5	0	0	1	0		
10117501	0		0	0	0	0	0	1	0		
10117601	0		0	0	0	0	0	1	0		
10117701	14	1	1	0	0	0	0	1	0		
10117801	0		0	0	0	0	0	1	0		
