id	ActivityID	gachapool	poolrate	itemid	ActivityName	排序	rate	個別機率	稀有度
1	146_0	6	400	70000_1_10	@Summon.Premium.title	64	1	0.044444	4
2	146_0	6	400	70000_2_10	@Summon.Premium.title	64	1	0.044444	4
3	146_0	6	400	70000_6_10	@Summon.Premium.title	64	1	0.044444	4
4	146_0	6	400	70000_10_10	@Summon.Premium.title	64	1	0.044444	4
5	146_0	6	400	70000_11_10	@Summon.Premium.title	64	1	0.044444	4
6	146_0	6	400	70000_12_10	@Summon.Premium.title	64	1	0.044444	4
7	146_0	6	400	70000_13_10	@Summon.Premium.title	64	1	0.044444	4
8	146_0	6	400	70000_16_10	@Summon.Premium.title	64	1	0.044444	4
9	146_0	6	400	70000_17_10	@Summon.Premium.title	64	1	0.044444	4
10	146_0	7	300	70000_1_15	@Summon.Premium.title	74	1	0.033333	4
11	146_0	7	300	70000_2_15	@Summon.Premium.title	74	1	0.033333	4
12	146_0	7	300	70000_6_15	@Summon.Premium.title	74	1	0.033333	4
13	146_0	7	300	70000_10_15	@Summon.Premium.title	74	1	0.033333	4
14	146_0	7	300	70000_11_15	@Summon.Premium.title	74	1	0.033333	4
15	146_0	7	300	70000_12_15	@Summon.Premium.title	74	1	0.033333	4
16	146_0	7	300	70000_13_15	@Summon.Premium.title	74	1	0.033333	4
17	146_0	7	300	70000_16_15	@Summon.Premium.title	74	1	0.033333	4
18	146_0	7	300	70000_17_15	@Summon.Premium.title	74	1	0.033333	4
19	146_0	8	200	70000_1_20	@Summon.Premium.title	84	1	0.008333	4
20	146_0	8	200	70000_2_20	@Summon.Premium.title	84	1	0.008333	4
21	146_0	8	200	70000_3_20	@Summon.Premium.title	85	1	0.008333	5
22	146_0	8	200	70000_4_20	@Summon.Premium.title	85	1	0.008333	5
23	146_0	8	200	70000_5_20	@Summon.Premium.title	85	1	0.008333	5
24	146_0	8	200	70000_6_20	@Summon.Premium.title	84	1	0.008333	4
25	146_0	8	200	70000_7_20	@Summon.Premium.title	85	1	0.008333	5
26	146_0	8	200	70000_8_20	@Summon.Premium.title	85	1	0.008333	5
27	146_0	8	200	70000_9_20	@Summon.Premium.title	85	1	0.008333	5
28	146_0	8	200	70000_10_20	@Summon.Premium.title	84	1	0.008333	4
29	146_0	8	200	70000_11_20	@Summon.Premium.title	84	1	0.008333	4
30	146_0	8	200	70000_12_20	@Summon.Premium.title	84	1	0.008333	4
31	146_0	8	200	70000_13_20	@Summon.Premium.title	84	1	0.008333	4
32	146_0	8	200	70000_14_20	@Summon.Premium.title	85	1	0.008333	5
33	146_0	8	200	70000_15_20	@Summon.Premium.title	85	1	0.008333	5
34	146_0	8	200	70000_16_20	@Summon.Premium.title	84	1	0.008333	4
35	146_0	8	200	70000_17_20	@Summon.Premium.title	84	1	0.008333	4
36	146_0	8	200	70000_18_20	@Summon.Premium.title	85	1	0.008333	5
37	146_0	8	200	70000_19_20	@Summon.Premium.title	85	1	0.008333	5
38	146_0	8	200	70000_20_20	@Summon.Premium.title	85	1	0.008333	5
39	146_0	8	200	70000_21_20	@Summon.Premium.title	85	1	0.008333	5
40	146_0	8	200	70000_22_20	@Summon.Premium.title	85	1	0.008333	5
41	146_0	8	200	70000_23_20	@Summon.Premium.title	85	1	0.008333	5
42	146_0	8	200	70000_24_20	@Summon.Premium.title	85	1	0.008333	5
43	146_0	9	80	70000_1_30	@Summon.Premium.title	94	1	0.003333	4
44	146_0	9	80	70000_2_30	@Summon.Premium.title	94	1	0.003333	4
45	146_0	9	80	70000_3_30	@Summon.Premium.title	95	1	0.003333	5
46	146_0	9	80	70000_4_30	@Summon.Premium.title	95	1	0.003333	5
47	146_0	9	80	70000_5_30	@Summon.Premium.title	95	1	0.003333	5
48	146_0	9	80	70000_6_30	@Summon.Premium.title	94	1	0.003333	4
49	146_0	9	80	70000_7_30	@Summon.Premium.title	95	1	0.003333	5
50	146_0	9	80	70000_8_30	@Summon.Premium.title	95	1	0.003333	5
51	146_0	9	80	70000_9_30	@Summon.Premium.title	95	1	0.003333	5
52	146_0	9	80	70000_10_30	@Summon.Premium.title	94	1	0.003333	4
53	146_0	9	80	70000_11_30	@Summon.Premium.title	94	1	0.003333	4
54	146_0	9	80	70000_12_30	@Summon.Premium.title	94	1	0.003333	4
55	146_0	9	80	70000_13_30	@Summon.Premium.title	94	1	0.003333	4
56	146_0	9	80	70000_14_30	@Summon.Premium.title	95	1	0.003333	5
57	146_0	9	80	70000_15_30	@Summon.Premium.title	95	1	0.003333	5
58	146_0	9	80	70000_16_30	@Summon.Premium.title	94	1	0.003333	4
59	146_0	9	80	70000_17_30	@Summon.Premium.title	94	1	0.003333	4
60	146_0	9	80	70000_18_30	@Summon.Premium.title	95	1	0.003333	5
61	146_0	9	80	70000_19_30	@Summon.Premium.title	95	1	0.003333	5
62	146_0	9	80	70000_20_30	@Summon.Premium.title	95	1	0.003333	5
63	146_0	9	80	70000_21_30	@Summon.Premium.title	95	1	0.003333	5
64	146_0	9	80	70000_22_30	@Summon.Premium.title	95	1	0.003333	5
65	146_0	9	80	70000_23_30	@Summon.Premium.title	95	1	0.003333	5
66	146_0	9	80	70000_24_30	@Summon.Premium.title	95	1	0.003333	5
67	146_0	10	20	70000_1_60	@Summon.Premium.title	104	1	0.000833	4
68	146_0	10	20	70000_2_60	@Summon.Premium.title	104	1	0.000833	4
69	146_0	10	20	70000_3_60	@Summon.Premium.title	105	1	0.000833	5
70	146_0	10	20	70000_4_60	@Summon.Premium.title	105	1	0.000833	5
71	146_0	10	20	70000_5_60	@Summon.Premium.title	105	1	0.000833	5
72	146_0	10	20	70000_6_60	@Summon.Premium.title	104	1	0.000833	4
73	146_0	10	20	70000_7_60	@Summon.Premium.title	105	1	0.000833	5
74	146_0	10	20	70000_8_60	@Summon.Premium.title	105	1	0.000833	5
75	146_0	10	20	70000_9_60	@Summon.Premium.title	105	1	0.000833	5
76	146_0	10	20	70000_10_60	@Summon.Premium.title	104	1	0.000833	4
77	146_0	10	20	70000_11_60	@Summon.Premium.title	104	1	0.000833	4
78	146_0	10	20	70000_12_60	@Summon.Premium.title	104	1	0.000833	4
79	146_0	10	20	70000_13_60	@Summon.Premium.title	104	1	0.000833	4
80	146_0	10	20	70000_14_60	@Summon.Premium.title	105	1	0.000833	5
81	146_0	10	20	70000_15_60	@Summon.Premium.title	105	1	0.000833	5
82	146_0	10	20	70000_16_60	@Summon.Premium.title	104	1	0.000833	4
83	146_0	10	20	70000_17_60	@Summon.Premium.title	104	1	0.000833	4
84	146_0	10	20	70000_18_60	@Summon.Premium.title	105	1	0.000833	5
85	146_0	10	20	70000_19_60	@Summon.Premium.title	105	1	0.000833	5
86	146_0	10	20	70000_20_60	@Summon.Premium.title	105	1	0.000833	5
87	146_0	10	20	70000_21_60	@Summon.Premium.title	105	1	0.000833	5
88	146_0	10	20	70000_22_60	@Summon.Premium.title	105	1	0.000833	5
89	146_0	10	20	70000_23_60	@Summon.Premium.title	105	1	0.000833	5
90	146_0	10	20	70000_24_60	@Summon.Premium.title	105	1	0.000833	5
91	166_0	11	15	10000_1002_5000_750	@Summon.Friend.title	112	1	0.075	2
92	166_0	11	15	30000_7001_5000_750	@Summon.Friend.title	113	1	0.075	3
93	166_0	12	40	30000_3001_1_1330	@Summon.Friend.title	121	1	0.133333	1
94	166_0	12	40	30000_3501_1_1330	@Summon.Friend.title	121	1	0.133333	1
95	166_0	12	40	30000_7183_3_1330	@Summon.Friend.title	121	1	0.133333	1
96	166_0	13	30	30000_7203_1	@Summon.Friend.title	131	1	0.15	1
97	166_0	13	30	30000_7204_1	@Summon.Friend.title	131	1	0.15	1
98	166_0	14	10	30000_7185_3_500	@Summon.Friend.title	142	1	0.05	2
99	166_0	14	10	30000_3801_1_500	@Summon.Friend.title	141	1	0.05	1
100	166_0	15	5	70000_1_5_42	@Summon.Friend.title	154	1	0.005556	4
101	166_0	15	5	70000_2_5_42	@Summon.Friend.title	154	1	0.005556	4
102	166_0	15	5	70000_6_5_42	@Summon.Friend.title	154	1	0.005556	4
103	166_0	15	5	70000_10_5_42	@Summon.Friend.title	154	1	0.005556	4
