id	名字(name)	难度(difficulty)	推荐战力(power)	monsterId	奖励图标	地图图片路径（icon)	關卡字體	關卡地圖背景	活動類型	奖励物品（reward）	freetpye	怪物头像品质	二次奖励	limitStage
1	@MM_1_1	1	10	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3501_5	2101	3	0	18
2	@MM_1_2	2	100000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3501_5	2101	3	0	44
3	@MM_1_3	3	150000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3501_6	2101	3	0	66
4	@MM_1_4	4	180000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3501_7	2101	3	0	80
5	@MM_1_5	5	200000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3502_6	2101	3	0	93
6	@MM_1_6	6	225000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3502_6,30000_3501_1	2101	3	0	101
7	@MM_1_7	7	250000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3502_7,30000_3501_1	2101	3	0	125
8	@MM_1_8	8	300000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3502_8	2101	3	0	160
9	@MM_1_9	9	350000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3502_9	2101	4	0	190
10	@MM_1_10	10	450000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3503_6,30000_3501_1	2101	4	0	220
11	@MM_1_11	11	550000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3503_7,30000_3501_2	2101	5	0	250
12	@MM_1_12	12	750000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3505_1,30000_3501_9	2101	5	0	280
13	@MM_1_13	13	850000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3505_1,30000_3504_2	2101	5	0	310
14	@MM_1_14	14	1000000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3505_1,30000_3501_21	2101	5	0	340
15	@MM_1_15	15	1350000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3505_2,30000_3501_2	2101	5	0	370
16	@MM_1_16	16	1500000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3505_2,30000_3501_7	2101	5	0	400
17	@MM_1_17	17	1750000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3505_2,30000_3503_3	2101	5	0	430
18	@MM_1_18	18	2000000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3505_2,30000_3501_17	2101	5	0	460
19	@MM_1_19	19	2250000	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3505_3	2101	5	0	490
20	@MM_1_20	20	999999999	1	Item/G_3_13.png	UI/Coliseum_img1.png	Coliseum_Label1.png	battle_bg_017	1	30000_3505_3,30000_3501_3	2101	5	0	520
21	@MM_2_1	1	10	1	Item/G_3_13.png	UI/Coliseum_img2.png	Coliseum_Label2.png	battle_bg_014	2	30000_3001_4	2101	5	0	18
22	@MM_2_2	2	100000	1	Item/G_3_13.png	UI/Coliseum_img2.png	Coliseum_Label2.png	battle_bg_014	2	30000_3001_4	2101	5	0	44
23	@MM_2_3	3	150000	1	Item/G_3_13.png	UI/Coliseum_img2.png	Coliseum_Label2.png	battle_bg_014	2	30000_3001_5	2101	5	0	66
