专属id	专属佣兵id	属性描述1	属性描述2	属性描述3	对应专属装备
101	1	301011	301012	301013	10101
102	2	301021	301022	301023	10201
103	3	301031	301032	301033	10301
104	4	301041	301042	301043	10401
105	5	301051	301052	301053	10501
106	6	301061	301062	301063	10601
107	7	301071	301072	301073	10701
108	8	301081	301082	301083	10801
109	9	301091	301092	301093	10901
110	10	301101	301102	301103	11001
111	11	301111	301112	301113	11101
112	12	301121	301122	301123	11201
113	13	301131	301132	301133	11301
114	14	301141	301142	301143	11401
115	15	301151	301152	301153	11501
116	16	301161	301162	301163	11601
117	17	301171	301172	301173	11701
118	18	301181	301182	301183	11801
119	19	301191	301192	301193	11901
120	20	301201	301202	301203	12001
121	21	301211	301212	301213	12101
122	22	301221	301222	301223	12201
123	23	301231	301232	301233	12301
124	24	301241	301242	301243	12401
201	1	401011	401012	401013	20101
202	2	401021	401022	401023	20201
203	3	401031	401032	401033	20301
204	4	401041	401042	401043	20401
205	5	401051	401052	401053	20501
206	6	401061	401062	401063	20601
207	7	401071	401072	401073	20701
208	8	401081	401082	401083	20801
209	9	401091	401092	401093	20901
210	10	401101	401102	401103	21001
211	11	401111	401112	401113	21101
212	12	401121	401122	401123	21201
213	13	401131	401132	401133	21301
214	14	401141	401142	401143	21401
215	15	401151	401152	401153	21501
216	16	401161	401162	401163	21601
217	17	401171	401172	401173	21701
218	18	401181	401182	401183	21801
219	19	401191	401192	401193	21901
220	20	401201	401202	401203	22001
221	21	401211	401212	401213	22101
222	22	401221	401222	401223	22201
223	23	401231	401232	401233	22301
224	24	401241	401242	401243	22401
301	1	501011	501012	501013	30101
302	2	501021	501022	501023	30201
303	3	501031	501032	501033	30301
304	4	501041	501042	501043	30401
305	5	501051	501052	501053	30501
306	6	501061	501062	501063	30601
307	7	501071	501072	501073	30701
308	8	501081	501082	501083	30801
309	9	501091	501092	501093	30901
310	10	501101	501102	501103	31001
311	11	501111	501112	501113	31101
312	12	501121	501122	501123	31201
313	13	501131	501132	501133	31301
314	14	501141	501142	501143	31401
315	15	501151	501152	501153	31501
316	16	501161	501162	501163	31601
317	17	501171	501172	501173	31701
318	18	501181	501182	501183	31801
319	19	501191	501192	501193	31901
320	20	501201	501202	501203	32001
321	21	501211	501212	501213	32101
322	22	501221	501222	501223	32201
323	23	501231	501232	501233	32301
324	24	501241	501242	501243	32401
