id	name	setElement	ownAdd	ownDec	showSkill	skinSkill	replacedSkin	chibi	jump	jumpText
01001	@NgSkin_01001	1	113_4050,106_2600,108_700		10101,10111,101061,10131	101061	10121	Spine/CharacterSpine,NG_01001	997	@SkinJumpTarget_Shop
14001	@NgSkin_14001	3	113_3600,106_2400,108_320		11401,114061,11421,11431	114061	11411	Spine/CharacterSpine,NG_14001	997	@SkinJumpTarget_Shop
07100	@NgSkin_07100	2	106_1783,107_1703,111_1821		10701,10711,107061,10731	107061	10721	Spine/CharacterSpine,NG_07100	997	@SkinJumpTarget_Shop
16100	@NgSkin_16100	3	113_1438,106_1117,110_457		11601,11611,116061,11631	116061	11621	Spine/CharacterSpine,NG_16100	997	@SkinJumpTarget_Shop
23100	@NgSkin_23100	5	113_2141,106_1261,110_440		12301,12311,123061,12331	123061	12321	Spine/CharacterSpine,NG_23100	997	@SkinJumpTarget_Shop
01100	@NgSkin_01100	1	113_1401,106_762,111_402		101071,10111,10121,10131	101071	10101	Spine/CharacterSpine,NG_01100	997	@SkinJumpTarget_Shop
08100	@NgSkin_08100	2	101_6195,106_845,107_1177		10801,10811,108061,10831	108061	10821	Spine/CharacterSpine,NG_08100	997	@SkinJumpTarget_Shop
09100	@NgSkin_09100	2	106_1177,107_1310,109_1080		109061,10911,10921,10931	109061	10901	Spine/CharacterSpine,NG_09100	997	@SkinJumpTarget_Shop
11100	@NgSkin_11100	2	113_1371,107_1151,111_959		11101,11111,111061,11131	111061	11121	Spine/CharacterSpine,NG_11100	997	@SkinJumpTarget_Shop
03100	@NgSkin_03100	1	114_1372,107_1115,111_595		10301,103061,10321,10331	103061	10311	Spine/CharacterSpine,NG_03100	997	@SkinJumpTarget_Shop
13100	@NgSkin_13100	3	114_1761,107_982,108_320		11301,11311,113061,11331	113061	11321	Spine/CharacterSpine,NG_13100	997	@SkinJumpTarget_Shop
02100	@NgSkin_02100	1	114_1836,107_934,109_602		102061,10211,10221,10231	102061	10201	Spine/CharacterSpine,NG_02100	997	@SkinJumpTarget_Shop
10100	@NgSkin_10100	2	113_1801,107_943,109_612		11001,110061,11021,11031	110061	11011	Spine/CharacterSpine,NG_10100	997	@SkinJumpTarget_Shop
12100	@NgSkin_12100	2	114_1527,107_1305,110_689		11201,11211,112061,11231	112061	11221	Spine/CharacterSpine,NG_12100	997	@SkinJumpTarget_Shop
18100	@NgSkin_18100	3	113_1558,107_1491,111_496		11801,118061,11821,11831	118061	11811	Spine/CharacterSpine,NG_18100	997	@SkinJumpTarget_Shop
19100	@NgSkin_19100	4	101_23540,110_1748		11901,11911,119061,11931	119061	11921	Spine/CharacterSpine,NG_19100	997	@SkinJumpTarget_Shop
22100	@NgSkin_22100	5	113_2013,106_1203,108_265		12201,12211,122061,12231	122061	12221	Spine/CharacterSpine,NG_22100	997	@SkinJumpTarget_Shop
24100	@NgSkin_24100	5	114_2008,107_1159,110_920		12401,124061,12421,12431	124061	12411	Spine/CharacterSpine,NG_24100	997	@SkinJumpTarget_Shop
17100	@NgSkin_17100	3	106_1208,107_1300,110_687		11701,11711,117061,11731	117061	11721	Spine/CharacterSpine,NG_17100	997	@SkinJumpTarget_Shop
04100	@NgSkin_04100	1	101_3717,113_1712,107_1076		10401,104061,10421,10431	104061	10411	Spine/CharacterSpine,NG_04100	997	@SkinJumpTarget_Shop
21100	@NgSkin_21100	4	114_1438,107_1150,111_594		12101,12111,121061,12131	121061	12121	Spine/CharacterSpine,NG_21100	996	@SkinJumpTarget_Activity
05100	@NgSkin_05100	1	101_4460,113_1380,106_1513		10501,105061,10521,10531	105061	10511	Spine/CharacterSpine,NG_05100	997	@SkinJumpTarget_Shop
06100	@NgSkin_06100	1	114_1686,106_1097,108_882		10601,106071,10621,10631	106071	10611	Spine/CharacterSpine,NG_06100	997	@SkinJumpTarget_Shop
15100	@NgSkin_15100	3	114_1624,107_1133,111_545		11501,11511,115061,11531	115061	11521	Spine/CharacterSpine,NG_15100	997	@SkinJumpTarget_Shop
20100	@NgSkin_20100	4	113_2084,106_1217,110_882		12001,12011,120061,12031	120061	12021	Spine/CharacterSpine,NG_20100	997	@SkinJumpTarget_Shop
