id	name	content	type	completeCountCfg	pointNumber	任务奖励数量	任务图标	任务排序ID	是否跳转	跳转地址	显示类型	图标颜色
1	@WeeklyQuestName_01	@WeeklyQuestContent_01	1	5	10	50	Item/2.png	1	0	NULL	0	5
2	@WeeklyQuestName_13	@WeeklyQuestContent_13	16	10	10	50	Item/2.png	2	1	30	0	5
3	@WeeklyQuestName_14	@WeeklyQuestContent_14	21	10	30	50000	Item/1.png	3	1	36	0	2
4	@WeeklyQuestName_15	@WeeklyQuestContent_15	20	8	10	20000	Item/I_7001.png	4	1	42	0	2
5	@WeeklyQuestName_16	@WeeklyQuestContent_16	18	3	30	50000	Item/1.png	5	1	43	0	2
6	@WeeklyQuestName_17	@WeeklyQuestContent_17	9	15	20	50	Item/2.png	6	1	21	0	5
7	@WeeklyQuestName_11	@WeeklyQuestContent_11	12	8	20	20000	Item/I_7001.png	7	1	9	0	2
8	@WeeklyQuestName_09	@WeeklyQuestContent_09	4	3	10	50000	Item/1.png	8	1	35	0	2
9	@WeeklyQuestName_18	@WeeklyQuestContent_18	6	10	20	50	Item/2.png	9	1	48	0	5
10	@WeeklyQuestName_08	@WeeklyQuestContent_08	15	3	20	20000	Item/I_7001.png	10	1	7	0	2
11	@WeeklyQuestName_19	@WeeklyQuestContent_19	17	3	20	50000	Item/1.png	11	1	44	0	2
12	@WeeklyQuestName_22	@WeeklyQuestContent_22	14	10	20	50000	Item/1.png	12	1	20	0	2
