id	RechargeId	passStage	freeReward	costReward
1	9001	10	30000_7182_50	10000_1001_500
2	9001	20	30000_7182_50	30000_7232_1,10000_1001_300
3	9001	30	30000_7182_50	30000_7232_2,10000_1001_300
4	9001	40	30000_7182_50	30000_7232_2,10000_1001_300
5	9001	45	30000_7182_50	30000_7232_2,10000_1001_300
6	9001	50	30000_7182_50	30000_7232_3,10000_1001_300
7	9002	60	30000_7182_50	10000_1001_600
8	9002	70	30000_7182_50	30000_7233_1,10000_1001_300
9	9002	80	30000_7182_50	30000_7233_2,10000_1001_300
10	9002	90	30000_7182_50	30000_7233_2,10000_1001_300
11	9002	95	30000_7182_50	30000_7233_2,10000_1001_500
12	9002	100	30000_7182_50	30000_7233_3,10000_1001_500
13	19901	1	10000_1001_200	10000_1001_6000
14	19901	2	10000_1001_200	10000_1001_2000
15	19901	3	10000_1001_200	10000_1001_2000
16	19901	4	10000_1001_200	10000_1001_2000
17	19901	5	10000_1001_200	10000_1001_2000
18	19901	6	10000_1001_200	10000_1001_2000
19	19901	7	10000_1001_200	10000_1001_2000
20	19901	8	10000_1001_200	10000_1001_2000
21	19901	9	10000_1001_200	10000_1001_2000
22	19901	10	10000_1001_200	10000_1001_6888
23	19901	11	10000_1001_200	10000_1001_6000
24	19901	12	10000_1001_200	10000_1001_2000
25	19901	13	10000_1001_200	10000_1001_2000
26	19901	14	10000_1001_200	10000_1001_2000
27	19901	15	10000_1001_200	10000_1001_2000
28	19901	16	10000_1001_200	10000_1001_2000
29	19901	17	10000_1001_200	10000_1001_2000
30	19901	18	10000_1001_200	10000_1001_2000
31	19901	19	10000_1001_200	10000_1001_2000
32	19901	20	10000_1001_200	10000_1001_6888
33	19901	21	10000_1001_200	10000_1001_6000
34	19901	22	10000_1001_200	10000_1001_2000
35	19901	23	10000_1001_200	10000_1001_2000
36	19901	24	10000_1001_200	10000_1001_2000
37	19901	25	10000_1001_200	10000_1001_2000
38	19901	26	10000_1001_200	10000_1001_2000
39	19901	27	10000_1001_200	10000_1001_2000
40	19901	28	10000_1001_200	10000_1001_2000
41	19901	29	10000_1001_200	10000_1001_2000
42	19901	30	10000_1001_200	10000_1001_6888
43	19902	1	10000_1001_200	10000_1001_6000
44	19902	2	10000_1001_200	10000_1001_2000
45	19902	3	10000_1001_200	10000_1001_2000
46	19902	4	10000_1001_200	10000_1001_2000
47	19902	5	10000_1001_200	10000_1001_2000
48	19902	6	10000_1001_200	10000_1001_2000
49	19902	7	10000_1001_200	10000_1001_2000
50	19902	8	10000_1001_200	10000_1001_2000
51	19902	9	10000_1001_200	10000_1001_2000
52	19902	10	10000_1001_200	10000_1001_6888
53	19902	11	10000_1001_200	10000_1001_6000
54	19902	12	10000_1001_200	10000_1001_2000
55	19902	13	10000_1001_200	10000_1001_2000
56	19902	14	10000_1001_200	10000_1001_2000
57	19902	15	10000_1001_200	10000_1001_2000
58	19902	16	10000_1001_200	10000_1001_2000
59	19902	17	10000_1001_200	10000_1001_2000
60	19902	18	10000_1001_200	10000_1001_2000
61	19902	19	10000_1001_200	10000_1001_2000
62	19902	20	10000_1001_200	10000_1001_6888
63	19902	21	10000_1001_200	10000_1001_6000
64	19902	22	10000_1001_200	10000_1001_2000
65	19902	23	10000_1001_200	10000_1001_2000
66	19902	24	10000_1001_200	10000_1001_2000
67	19902	25	10000_1001_200	10000_1001_2000
68	19902	26	10000_1001_200	10000_1001_2000
69	19902	27	10000_1001_200	10000_1001_2000
70	19902	28	10000_1001_200	10000_1001_2000
71	19902	29	10000_1001_200	10000_1001_2000
72	19902	30	10000_1001_200	10000_1001_6888
73	19903	1	10000_1001_200	10000_1001_6000
74	19903	2	10000_1001_200	10000_1001_2000
75	19903	3	10000_1001_200	10000_1001_2000
76	19903	4	10000_1001_200	10000_1001_2000
77	19903	5	10000_1001_200	10000_1001_2000
78	19903	6	10000_1001_200	10000_1001_2000
79	19903	7	10000_1001_200	10000_1001_2000
80	19903	8	10000_1001_200	10000_1001_2000
81	19903	9	10000_1001_200	10000_1001_2000
82	19903	10	10000_1001_200	10000_1001_6888
83	19903	11	10000_1001_200	10000_1001_6000
84	19903	12	10000_1001_200	10000_1001_2000
85	19903	13	10000_1001_200	10000_1001_2000
86	19903	14	10000_1001_200	10000_1001_2000
87	19903	15	10000_1001_200	10000_1001_2000
88	19903	16	10000_1001_200	10000_1001_2000
89	19903	17	10000_1001_200	10000_1001_2000
90	19903	18	10000_1001_200	10000_1001_2000
91	19903	19	10000_1001_200	10000_1001_2000
92	19903	20	10000_1001_200	10000_1001_6888
93	19903	21	10000_1001_200	10000_1001_6000
94	19903	22	10000_1001_200	10000_1001_2000
95	19903	23	10000_1001_200	10000_1001_2000
96	19903	24	10000_1001_200	10000_1001_2000
97	19903	25	10000_1001_200	10000_1001_2000
98	19903	26	10000_1001_200	10000_1001_2000
99	19903	27	10000_1001_200	10000_1001_2000
100	19903	28	10000_1001_200	10000_1001_2000
101	19903	29	10000_1001_200	10000_1001_2000
102	19903	30	10000_1001_200	10000_1001_6888
