流水號	id	type	等級限制	需求人數	nextstage	monsterid	reward	stagebg	spine	scale	關卡地圖背景	關卡名稱
1	1	1	130	5	2	0,50_1_40004,50_1_40003,50_1_40002,50_1_40003,50_1_40005	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_016	@TowerName01_001
2	2	1	130	5	3	0,51_1_40008,51_1_40007,51_1_40006,51_1_40005,51_1_40005	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_06000	1	battle_bg_016	@TowerName01_002
3	3	1	130	5	4	0,52_1_40009,52_1_40008,52_1_40007,52_1_40006,52_1_40006	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_016	@TowerName01_003
4	4	1	130	5	5	0,53_1_40003,53_1_40004,53_1_40002,53_1_40003,53_1_40003	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_04000	1	battle_bg_016	@TowerName01_004
5	5	1	130	5	6	0,54_1_40019,54_1_40018,54_1_40017,54_1_40016,54_1_40015	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_08000	1	battle_bg_024	@TowerName01_005
6	6	1	130	5	7	0,55_1_40018,55_1_40017,55_1_40016,55_1_40015,55_1_40014	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_10000	1	battle_bg_016	@TowerName01_006
7	7	1	130	5	8	0,56_1_40013,56_1_40012,56_1_40011,56_1_40010,56_1_40009	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_10000	1	battle_bg_016	@TowerName01_007
8	8	1	130	5	9	0,57_1_40014,57_1_40013,57_1_40012,57_1_40011,57_1_40010	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_12000	1	battle_bg_016	@TowerName01_008
9	9	1	130	5	10	0,58_1_40008,58_1_40009,58_1_40010,58_1_40008,58_1_40007	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_05000	1	battle_bg_016	@TowerName01_009
10	10	1	130	5	11	0,59_1_40013,59_1_40012,59_1_40011,59_1_40010,59_1_40009	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_10000	1	battle_bg_024	@TowerName01_010
11	11	1	130	5	12	0,60_1_40004,60_1_40005,60_1_40006,60_1_40004,60_1_40005	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_04000	1	battle_bg_016	@TowerName01_011
12	12	1	130	5	13	0,61_1_40018,61_1_40016,61_1_40014,61_1_40016,61_1_40010	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_11000	1	battle_bg_016	@TowerName01_012
13	13	1	130	5	14	0,62_1_40003,62_1_40005,62_1_40007,62_1_40009,62_1_40011	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_05000	1	battle_bg_016	@TowerName01_013
14	14	1	130	5	15	0,63_1_40019,63_1_40017,63_1_40015,63_1_40013,63_1_40011	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_014
15	15	1	130	5	16	0,64_1_40008,64_1_40009,64_1_40010,64_1_40011,64_1_40012	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_12000	1	battle_bg_024	@TowerName01_015
16	16	1	130	5	17	0,65_1_40003,65_1_40005,65_1_40007,65_1_40009,65_1_40011	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_05000	1	battle_bg_016	@TowerName01_016
17	17	1	130	5	18	0,66_1_40009,66_1_40011,66_1_40013,66_1_40015,66_1_40017	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_10000	1	battle_bg_016	@TowerName01_017
18	18	1	130	5	19	0,67_1_40014,67_1_40011,67_1_40009,67_1_40003,67_1_40000	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_04000	1	battle_bg_016	@TowerName01_018
19	19	1	130	5	20	0,68_1_40004,68_1_40000,68_1_40002,68_1_40006,68_1_40008	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_03000	1	battle_bg_016	@TowerName01_019
20	20	1	130	5	21	0,69_1_40013,69_1_40014,69_1_40007,69_1_40009,69_1_40011	10000_1001_50,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_05000	1	battle_bg_024	@TowerName01_020
21	21	1	130	5	22	0,70_1_40004,70_1_40005,70_1_40013,70_1_40014,70_1_40018	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_07000	1	battle_bg_016	@TowerName01_021
22	22	1	130	5	23	0,71_1_40008,71_1_40005,71_1_40008,71_1_40003,71_1_40006	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_04000	1	battle_bg_016	@TowerName01_022
23	23	1	130	5	24	0,72_1_40009,72_1_40005,72_1_40009,72_1_40007,72_1_40014	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_02000	1	battle_bg_016	@TowerName01_023
24	24	1	130	5	25	0,73_1_40003,73_1_40006,73_1_40003,73_1_40008,73_1_40007	10000_1001_50,30000_5005_30,30000_7197_1,30000_9001_10	BG/UI/Tower_img1.png	Spine/CharacterSpine,NG_05000	1	battle_bg_016	@TowerName01_024
25	25	1	130	5	26	0,74_1_40019,74_1_40003,74_1_40019,74_1_40004,74_1_40015	10000_1001_100,30000_5005_30,30000_7198_1,30000_9001_10	BG/UI/Tower_img2.png	Spine/CharacterSpine,NG_04000	1	battle_bg_024	@TowerName01_025
