id	nextstage	monsterid	reward	stagebg	buffdesc	spine	scale	關卡地圖背景	關卡名稱
1	2	0,0,0,50001,0,0	10000_1001_10	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_01000	1	battle_bg_003	@AllianceBoss_1
2	3	0,0,0,50001,0,0	10000_1001_20	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_02000	1	battle_bg_003	@AllianceBoss_1
3	4	0,0,0,50001,0,0	10000_1001_30	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_03000	1	battle_bg_003	@AllianceBoss_1
4	5	0,0,0,50001,0,0	10000_1001_40	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_04000	1	battle_bg_003	@AllianceBoss_1
5	6	0,0,0,50001,0,0	10000_1001_50	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_05000	1	battle_bg_003	@AllianceBoss_1
6	7	0,0,0,50001,0,0	10000_1001_60	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_06000	1	battle_bg_003	@AllianceBoss_1
7	8	0,0,0,50001,0,0	10000_1001_70	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_07000	1	battle_bg_003	@AllianceBoss_1
8	9	0,0,0,50001,0,0	10000_1001_80	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_08000	1	battle_bg_003	@AllianceBoss_1
9	10	0,0,0,50001,0,0	10000_1001_90	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_09000	1	battle_bg_003	@AllianceBoss_1
10	11	0,0,0,50001,0,0	10000_1001_100	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_10000	1	battle_bg_003	@AllianceBoss_1
11	12	0,0,0,50001,0,0	10000_1001_110	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_11000	1	battle_bg_003	@AllianceBoss_1
12	13	0,0,0,50001,0,0	10000_1001_120	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_12000	1	battle_bg_003	@AllianceBoss_1
13	14	0,0,0,50001,0,0	10000_1001_130	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_13000	1	battle_bg_003	@AllianceBoss_1
14	15	0,0,0,50001,0,0	10000_1001_140	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_14000	1	battle_bg_003	@AllianceBoss_1
15	16	0,0,0,50001,0,0	10000_1001_150	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_15000	1	battle_bg_003	@AllianceBoss_1
16	17	0,0,0,50001,0,0	10000_1001_160	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_16000	1	battle_bg_003	@AllianceBoss_1
17	18	0,0,0,50001,0,0	10000_1001_170	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_17000	1	battle_bg_003	@AllianceBoss_1
18	19	0,0,0,50001,0,0	10000_1001_180	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_18000	1	battle_bg_003	@AllianceBoss_1
19	20	0,0,0,50001,0,0	10000_1001_190	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_19000	1	battle_bg_003	@AllianceBoss_1
20	21	0,0,0,50001,0,0	10000_1001_200	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_20000	1	battle_bg_003	@AllianceBoss_1
21	22	0,0,0,50001,0,0	10000_1001_210	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_21000	1	battle_bg_003	@AllianceBoss_1
22	23	0,0,0,50001,0,0	10000_1001_220	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_22000	1	battle_bg_003	@AllianceBoss_1
23	24	0,0,0,50001,0,0	10000_1001_230	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_23000	1	battle_bg_003	@AllianceBoss_1
24	25	0,0,0,50001,0,0	10000_1001_240	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_24000	1	battle_bg_003	@AllianceBoss_1
25	26	0,0,0,50001,0,0	10000_1001_250	BG/UI/Tower_img2.png	500011	Spine/CharacterSpine,NG_01000	1	battle_bg_003	@AllianceBoss_1
26	27	0,0,0,50001,0,0	10000_1001_260	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_02000	1	battle_bg_003	@AllianceBoss_1
27	28	0,0,0,50001,0,0	10000_1001_270	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_03000	1	battle_bg_003	@AllianceBoss_1
28	29	0,0,0,50001,0,0	10000_1001_280	BG/UI/Tower_img1.png	500011	Spine/CharacterSpine,NG_04000	1	battle_bg_003	@AllianceBoss_1
