ID	Role	BG	StartMovementId	EndMovementId	BGM	EFF	VoiceWait
999999		BG/AVG/avg_bg_001.jpg	99999901	99999901			
101101	981	BG/AVG/avg_bg_117.jpg	10110101	10110101	StoryBgm2.mp3		
101102	957	BG/AVG/avg_bg_117.jpg	10110201	10110201	StoryBgm2.mp3		
101103	957	BG/AVG/avg_bg_117.jpg	10110301	10110301	StoryBgm2.mp3		
101104	981	BG/AVG/avg_bg_117.jpg	10110401	10110401	StoryBgm2.mp3		
101105		BG/AVG/avg_bg_117.jpg	10110501	10110503			
101106	957	BG/AVG/avg_bg_117.jpg	10110601	10110601	StoryBgm8.mp3		
101107	958	BG/AVG/avg_bg_117.jpg	10110701	10110701	StoryBgm8.mp3		
101108	957	BG/AVG/avg_bg_117.jpg	10110801	10110801	StoryBgm8.mp3		
101109	958	BG/AVG/avg_bg_117.jpg	10110901	10110901	StoryBgm8.mp3		
101110	958	BG/AVG/avg_bg_117.jpg	10111001	10111001	StoryBgm8.mp3		
101111	957	BG/AVG/avg_bg_117.jpg	10111101	10111101	StoryBgm8.mp3		
101112	957	BG/AVG/avg_bg_117.jpg	10111201	10111201	StoryBgm8.mp3		
101113	957	BG/AVG/avg_bg_117.jpg	10111301	10111301	StoryBgm8.mp3		
101114	957	BG/AVG/avg_bg_117.jpg	10111401	10111401	StoryBgm8.mp3		
101115		BG/AVG/avg_bg_117.jpg	10111501	10111503			
101116	13	BG/AVG/avg_bg_119.jpg	10111601	10111602	StoryBgm1.mp3		
101117	999	BG/AVG/avg_bg_119.jpg	10111701	10111701	StoryBgm1.mp3		
101118	13	BG/AVG/avg_bg_119.jpg	10111801	10111801	StoryBgm1.mp3		
101119	999	BG/AVG/avg_bg_119.jpg	10111901	10111901	StoryBgm1.mp3		
101120	2	BG/AVG/avg_bg_119.jpg	10112001	10112002	StoryBgm1.mp3		
101121	2	BG/AVG/avg_bg_119.jpg	10112101	10112101	StoryBgm1.mp3		
101122	2	BG/AVG/avg_bg_119.jpg	10112201	10112201	StoryBgm1.mp3		
101123	2	BG/AVG/avg_bg_119.jpg	10112301	10112301	StoryBgm1.mp3		
101124	2	BG/AVG/avg_bg_119.jpg	10112401	10112401	StoryBgm1.mp3		
101125	999	BG/AVG/avg_bg_119.jpg	10112501	10112501	StoryBgm1.mp3		
101126	999	BG/AVG/avg_bg_119.jpg	10112601	10112601	StoryBgm1.mp3		
101127	2	BG/AVG/avg_bg_119.jpg	10112701	10112702	StoryBgm1.mp3		
101128	999	BG/AVG/avg_bg_119.jpg	10112801	10112801	StoryBgm1.mp3		
101129	999	BG/AVG/avg_bg_119.jpg	10112901	10112901	StoryBgm1.mp3		
101130	13	BG/AVG/avg_bg_119.jpg	10113001	10113002	StoryBgm1.mp3		
101131	13	BG/AVG/avg_bg_119.jpg	10113101	10113101	StoryBgm1.mp3		
101132	13	BG/AVG/avg_bg_119.jpg	10113201	10113201	StoryBgm1.mp3		
101133	13	BG/AVG/avg_bg_119.jpg	10113301	10113301	StoryBgm1.mp3		
101134	999	BG/AVG/avg_bg_119.jpg	10113401	10113401	StoryBgm1.mp3		
101135	13	BG/AVG/avg_bg_119.jpg	10113501	10113502	StoryBgm1.mp3		
101136	13	BG/AVG/avg_bg_119.jpg	10113601	10113601	StoryBgm1.mp3		
101137	999	BG/AVG/avg_bg_119.jpg	10113701	10113701	StoryBgm1.mp3		
101138	999	BG/AVG/avg_bg_119.jpg	10113801	10113801	StoryBgm1.mp3		
101139	13	BG/AVG/avg_bg_119.jpg	10113901	10113901	StoryBgm1.mp3		
101140	13	BG/AVG/avg_bg_119.jpg	10114001	10114001	StoryBgm1.mp3		
101141	13	BG/AVG/avg_bg_119.jpg	10114101	10114101	StoryBgm1.mp3		
101142	999	BG/AVG/avg_bg_119.jpg	10114201	10114201	StoryBgm1.mp3		
101143	999	BG/AVG/avg_bg_119.jpg	10114301	10114301	StoryBgm1.mp3		
101144	981	BG/AVG/avg_bg_119.jpg	10114401	10114401	StoryBgm2.mp3		
101145	999	BG/AVG/avg_bg_119.jpg	10114501	10114501	StoryBgm2.mp3		
101146	2	BG/AVG/avg_bg_119.jpg	10114601	10114602	StoryBgm2.mp3		
101147	13	BG/AVG/avg_bg_119.jpg	10114701	10114703	StoryBgm2.mp3		
101148	13	BG/AVG/avg_bg_119.jpg	10114801	10114801	StoryBgm2.mp3		
101149	981	BG/AVG/avg_bg_119.jpg	10114901	10114901	StoryBgm2.mp3		
101150	2	BG/AVG/avg_bg_119.jpg	10115001	10115001	StoryBgm2.mp3		
101201	2	BG/AVG/avg_bg_119.jpg	10120101	10120102	StoryBgm1.mp3		
101202	2	BG/AVG/avg_bg_119.jpg	10120201	10120201	StoryBgm1.mp3		
101203	13	BG/AVG/avg_bg_119.jpg	10120301	10120303	StoryBgm1.mp3		
101204	999	BG/AVG/avg_bg_119.jpg	10120401	10120401	StoryBgm1.mp3		
101205	13	BG/AVG/avg_bg_119.jpg	10120501	10120501	StoryBgm1.mp3		
101206	13	BG/AVG/avg_bg_119.jpg	10120601	10120601	StoryBgm1.mp3		
101207	2	BG/AVG/avg_bg_119.jpg	10120701	10120703	StoryBgm1.mp3		
101208	999	BG/AVG/avg_bg_119.jpg	10120801	10120801	StoryBgm1.mp3		
101209	13	BG/AVG/avg_bg_119.jpg	10120901	10120902	StoryBgm1.mp3		
101210	13	BG/AVG/avg_bg_119.jpg	10121001	10121001	StoryBgm1.mp3		
101211	993	BG/AVG/avg_bg_119.jpg	10121101	10121101	StoryBgm1.mp3		
101212	999	BG/AVG/avg_bg_119.jpg	10121201	10121201	StoryBgm1.mp3		
101213	999	BG/AVG/avg_bg_119.jpg	10121301	10121301	StoryBgm1.mp3		
101214	2	BG/AVG/avg_bg_119.jpg	10121401	10121402	StoryBgm1.mp3		
101215		BG/AVG/avg_bg_119.jpg	10121501	10121505	StoryBgm1.mp3		
101216	993	BG/AVG/avg_bg_9933.jpg	10121601	10121601	StoryBgm8.mp3		
101217	2	BG/AVG/avg_bg_9933.jpg	10121701	10121701	StoryBgm8.mp3		
101218	993	BG/AVG/avg_bg_9933.jpg	10121801	10121801	StoryBgm8.mp3		
101219	17	BG/AVG/avg_bg_9933.jpg	10121901	10121901	StoryBgm8.mp3		
101220	1	BG/AVG/avg_bg_9933.jpg	10122001	10122001	StoryBgm8.mp3		
101221	1	BG/AVG/avg_bg_9933.jpg	10122101	10122101	StoryBgm8.mp3		
101222	999	BG/AVG/avg_bg_9933.jpg	10122201	10122201	StoryBgm8.mp3		
101223		BG/AVG/avg_bg_9933.jpg	10122301	10122303	StoryBgm8.mp3		
101224	999	BG/AVG/avg_bg_9934.jpg	10122401	10122401	StoryBgm8.mp3		
101225	1	BG/AVG/avg_bg_9934.jpg	10122501	10122501	StoryBgm8.mp3		
101226	999	BG/AVG/avg_bg_9934.jpg	10122601	10122601	StoryBgm8.mp3		
101227	999	BG/AVG/avg_bg_9934.jpg	10122701	10122701	StoryBgm8.mp3		
101228	17	BG/AVG/avg_bg_9934.jpg	10122801	10122801	StoryBgm8.mp3		
101229	990	BG/AVG/avg_bg_9934.jpg	10122901	10122901	StoryBgm8.mp3		
101230	13	BG/AVG/avg_bg_9934.jpg	10123001	10123001	StoryBgm8.mp3		
101231		BG/AVG/avg_bg_9934.jpg	10123101	10123103	StoryBgm8.mp3		
101232	13	BG/AVG/avg_bg_119.jpg	10123201	10123202	StoryBgm8.mp3		
101233	999	BG/AVG/avg_bg_119.jpg	10123301	10123301	StoryBgm8.mp3		
101234	13	BG/AVG/avg_bg_119.jpg	10123401	10123401	StoryBgm8.mp3		
101235	13	BG/AVG/avg_bg_119.jpg	10123501	10123501	StoryBgm8.mp3		
101236	13	BG/AVG/avg_bg_119.jpg	10123601	10123601	StoryBgm8.mp3		
101237	17	BG/AVG/avg_bg_119.jpg	10123701	10123703	StoryBgm8.mp3		
101238	13	BG/AVG/avg_bg_119.jpg	10123801	10123802	StoryBgm8.mp3		
101239	17	BG/AVG/avg_bg_119.jpg	10123901	10123902	StoryBgm8.mp3		
101240	17	BG/AVG/avg_bg_119.jpg	10124001	10124001	StoryBgm8.mp3		
101241	13	BG/AVG/avg_bg_119.jpg	10124101	10124102	StoryBgm8.mp3		
101242	13	BG/AVG/avg_bg_119.jpg	10124201	10124201	StoryBgm8.mp3		
101243	999	BG/AVG/avg_bg_119.jpg	10124301	10124301	StoryBgm8.mp3		
101244	13	BG/AVG/avg_bg_119.jpg	10124401	10124401	StoryBgm8.mp3		
101245	999	BG/AVG/avg_bg_119.jpg	10124501	10124501	StoryBgm8.mp3		
101246	13	BG/AVG/avg_bg_119.jpg	10124601	10124602	StoryBgm8.mp3		
101247	999	BG/AVG/avg_bg_119.jpg	10124701	10124701	StoryBgm8.mp3		
101248	13	BG/AVG/avg_bg_119.jpg	10124801	10124801	StoryBgm8.mp3		
101249	13	BG/AVG/avg_bg_119.jpg	10124901	10124901	StoryBgm8.mp3		
101250	13	BG/AVG/avg_bg_119.jpg	10125001	10125001	StoryBgm8.mp3		
101251	999	BG/AVG/avg_bg_119.jpg	10125101	10125101	StoryBgm8.mp3		
101252	13	BG/AVG/avg_bg_119.jpg	10125201	10125201	StoryBgm8.mp3		
101253	999	BG/AVG/avg_bg_119.jpg	10125301	10125301	StoryBgm8.mp3		
101254	999	BG/AVG/avg_bg_119.jpg	10125401	10125401	StoryBgm8.mp3		
101255	13	BG/AVG/avg_bg_119.jpg	10125501	10125501	StoryBgm8.mp3		
101256	13	BG/AVG/avg_bg_119.jpg	10125601	10125601	StoryBgm8.mp3		
101257	13	BG/AVG/avg_bg_119.jpg	10125701	10125701	StoryBgm8.mp3		
101258	986	BG/AVG/avg_bg_119.jpg	10125801	10125801	StoryBgm2.mp3		
101259	2	BG/AVG/avg_bg_119.jpg	10125901	10125903	StoryBgm2.mp3		
101260	2	BG/AVG/avg_bg_119.jpg	10126001	10126001	StoryBgm2.mp3		
101261	13	BG/AVG/avg_bg_119.jpg	10126101	10126103	StoryBgm2.mp3		
101262	13	BG/AVG/avg_bg_119.jpg	10126201	10126201	StoryBgm2.mp3		
104101	957	BG/AVG/avg_bg_119.jpg	10410101	10410101	StoryBgm2.mp3		
104102	1	BG/AVG/avg_bg_119.jpg	10410201	10410202	StoryBgm2.mp3		
104103	957	BG/AVG/avg_bg_119.jpg	10410301	10410301	StoryBgm2.mp3		
104104	957	BG/AVG/avg_bg_119.jpg	10410401	10410401	StoryBgm2.mp3		
104105	999	BG/AVG/avg_bg_119.jpg	10410501	10410501	StoryBgm2.mp3		
104106	999	BG/AVG/avg_bg_119.jpg	10410601	10410601	StoryBgm2.mp3		
104107	957	BG/AVG/avg_bg_119.jpg	10410701	10410701	StoryBgm2.mp3		
104108	13	BG/AVG/avg_bg_119.jpg	10410801	10410802	StoryBgm8.mp3		
104109	13	BG/AVG/avg_bg_119.jpg	10410901	10410901	StoryBgm8.mp3		
104110	957	BG/AVG/avg_bg_119.jpg	10411001	10411001	StoryBgm8.mp3		
104111	957	BG/AVG/avg_bg_119.jpg	10411101	10411101	StoryBgm8.mp3		
104112	1	BG/AVG/avg_bg_119.jpg	10411201	10411201	StoryBgm8.mp3		
104113	957	BG/AVG/avg_bg_119.jpg	10411301	10411301	StoryBgm8.mp3		
104114	957	BG/AVG/avg_bg_119.jpg	10411401	10411401	StoryBgm8.mp3		
104115	1	BG/AVG/avg_bg_119.jpg	10411501	10411501	StoryBgm8.mp3		
104116	957	BG/AVG/avg_bg_119.jpg	10411601	10411601	StoryBgm8.mp3		
104117	13	BG/AVG/avg_bg_119.jpg	10411701	10411701	StoryBgm8.mp3		
104118	1	BG/AVG/avg_bg_119.jpg	10411801	10411802	StoryBgm8.mp3		
104119	1	BG/AVG/avg_bg_119.jpg	10411901	10411901	StoryBgm8.mp3		
104120	957	BG/AVG/avg_bg_119.jpg	10412001	10412001	StoryBgm8.mp3		
104121	957	BG/AVG/avg_bg_119.jpg	10412101	10412101	StoryBgm8.mp3		
104122	957	BG/AVG/avg_bg_119.jpg	10412201	10412201	StoryBgm8.mp3		
104123	1	BG/AVG/avg_bg_119.jpg	10412301	10412301	StoryBgm8.mp3		
104124	981	BG/AVG/avg_bg_119.jpg	10412401	10412402	StoryBgm2.mp3		
104125	957	BG/AVG/avg_bg_119.jpg	10412501	10412501	StoryBgm2.mp3		
104126	13	BG/AVG/avg_bg_119.jpg	10412601	10412602	StoryBgm2.mp3		
104127		BG/AVG/avg_bg_119.jpg	10412701	10412704	StoryBgm2.mp3		
104128	13	BG/AVG/avg_bg_9935.jpg	10412801	10412801	StoryBgm2.mp3		
104129	957	BG/AVG/avg_bg_9935.jpg	10412901	10412901	StoryBgm2.mp3		
104130	957	BG/AVG/avg_bg_9935.jpg	10413001	10413001	StoryBgm2.mp3		
104131	13	BG/AVG/avg_bg_9935.jpg	10413101	10413101	StoryBgm2.mp3		
104132	13	BG/AVG/avg_bg_9935.jpg	10413201	10413201	StoryBgm2.mp3		
104133	957	BG/AVG/avg_bg_9935.jpg	10413301	10413301	StoryBgm2.mp3		
104134		BG/AVG/avg_bg_9935.jpg	10413401	10413403	StoryBgm2.mp3		
104135	957	BG/AVG/avg_bg_9935.jpg	10413501	10413501	StoryBgm2.mp3		
104136	13	BG/AVG/avg_bg_9935.jpg	10413601	10413601	StoryBgm2.mp3		
104137	13	BG/AVG/avg_bg_9935.jpg	10413701	10413701	StoryBgm2.mp3		
104138	957	BG/AVG/avg_bg_9935.jpg	10413801	10413801	StoryBgm2.mp3		
104139	999	BG/AVG/avg_bg_9935.jpg	10413901	10413901	StoryBgm2.mp3		
104140	13	BG/AVG/avg_bg_9935.jpg	10414001	10414001	StoryBgm2.mp3		
104141	13	BG/AVG/avg_bg_9935.jpg	10414101	10414101	StoryBgm2.mp3		
106201	993	BG/AVG/avg_bg_112.jpg	10620101	10620101	StoryBgm7.mp3		
106202	971	BG/AVG/avg_bg_112.jpg	10620201	10620201	StoryBgm7.mp3		
106203	993	BG/AVG/avg_bg_112.jpg	10620301	10620301	StoryBgm7.mp3		
106204	971	BG/AVG/avg_bg_112.jpg	10620401	10620401	StoryBgm7.mp3		
106205	993	BG/AVG/avg_bg_112.jpg	10620501	10620501	StoryBgm7.mp3		
106206	993	BG/AVG/avg_bg_112.jpg	10620601	10620601	StoryBgm7.mp3		
106207		BG/AVG/avg_bg_112.jpg	10620701	10620703	StoryBgm7.mp3		
106208	1	BG/AVG/avg_bg_119.jpg	10620801	10620802	StoryBgm8.mp3		
106209	981	BG/AVG/avg_bg_119.jpg	10620901	10620901	StoryBgm8.mp3		
106210	1	BG/AVG/avg_bg_119.jpg	10621001	10621002	StoryBgm8.mp3		
106211	1	BG/AVG/avg_bg_119.jpg	10621101	10621101	StoryBgm8.mp3		
106212	13	BG/AVG/avg_bg_119.jpg	10621201	10621203	StoryBgm8.mp3		
106213	957	BG/AVG/avg_bg_119.jpg	10621301	10621301	StoryBgm8.mp3		
106214	957	BG/AVG/avg_bg_119.jpg	10621401	10621401	StoryBgm8.mp3		
