ID	TYPE	SPINE	Define	Position	Wait	Transform	Rotate	Scale	Time	Parent	SpawnId
99999901	18	AVG_V_C99003	0	0	0	0	0	1	0		
10110101	12	BG/AVG/avg_bg_117.jpg	0	0	0.5	0	0	1	0		
10110201	0		0	0	0	0	0	1	0		
10110301	0		0	0	0	0	0	1	0		
10110401	15		0	0	0.5	0	0	1	5		
10110501	16	F1	0	0	0	0	0	1	0		
10110502	12	BG/AVG/avg_bg_117.jpg	0	0	0.5	0	0	1	0		
10110503	13		0	0	0.5	0	0	1	0		
10110601	0		0	0	0	0	0	1	0		
10110701	0		0	0	0	0	0	1	0		
10110801	0		0	0	0	0	0	1	0		
10110901	0		0	0	0	0	0	1	0		
10111001	0		0	0	0	0	0	1	0		
10111101	0		0	0	0	0	0	1	0		
10111201	0		0	0	0	0	0	1	0		
10111301	0		0	0	0	0	0	1	0		
10111401	0		0	0	0	0	0	1	0		
10111501	4	F9	0	0	0	0	0	1	0		
10111502	12	BG/AVG/avg_bg_119.jpg	0	0	0.5	0	0	1	0		
10111503	13		0	0	1	0	0	1	0		
10111601	9	A00,Spine/NG2D_nobg,AVG_01301	2	250,0	0	0	0	1	0		
10111602	14	1	2	0	0	0	0	1	0		
10111701	14	0	2	0	0	0	0	1	0		
10111801	14	1	2	0	0	0	0	1	0		
10111901	14	0	2	0	0	0	0	1	0		
10112001	9	A00,Spine/NG2D_nobg,AVG_00201	1	-250,0	0	0	0	1	0		
10112002	14	1	1	0	0	0	0	1	0		
10112101	0		0	0	0	0	0	1	0		
10112201	0		0	0	0	0	0	1	0		
10112301	0		0	0	0	0	0	1	0		
10112401	1	F01	0	0	0	0	0	1	0		
10112501	14	0	1	0	0	0	0	1	0		
10112601	0		0	0	0	0	0	1	0		
10112701	14	1	1	0	0	0	0	1	0		
10112702	1	F05	1	0	0	0	0	1	0		
10112801	14	0	1	0	0	0	0	1	0		
10112901	0		0	0	0	0	0	1	0		
10113001	14	1	2	0	0	0	0	1	0		
10113002	1	F05	2	0	0	0	0	1	0		
10113101	0		0	0	0	0	0	1	0		
10113201	0		0	0	0	0	0	1	0		
10113301	1	F02	2	0	0	0	0	1	0		
10113401	14	0	2	0	0	0	0	1	0		
10113501	14	1	2	0	0	0	0	1	0		
10113502	1	A00	2	0	0	0	0	1	0		
10113601	0		0	0	0	0	0	1	0		
10113701	14	0	2	0	0	0	0	1	0		
10113801	0		0	0	0	0	0	1	0		
10113901	14	1	2	0	0	0	0	1	0		
10114001	0		0	0	0	0	0	1	0		
10114101	1	F05	2	0	0	0	0	1	0		
10114201	14	0	2	0	0	0	0	1	0		
10114301	0		0	0	0	0	0	1	0		
10114401	15		0	0	0.5	0	0	1	5		
10114501	0		0	0	0	0	0	1	0		
10114601	14	1	1	0	0	0	0	1	0		
10114602	1	F03	1	0	0	0	0	1	0		
10114701	14	1	2	0	0	0	0	1	0		
10114702	1	A00	2	0	0	0	0	1	0		
10114703	14	0	1	0	0	0	0	1	0		
10114801	0		0	0	0	0	0	1	0		
10114901	14	0	2	0	0	0	0	1	0		
10115001	14	1	1	0	0	0	0	1	0		
10120101	9	F01,Spine/NG2D_nobg,AVG_00201	1	-250,0	0	0	0	1	0		
10120102	14	1	1	0	0	0	0	1	0		
10120201	0		0	0	0	0	0	1	0		
10120301	9	A00,Spine/NG2D_nobg,AVG_01301	2	250,0	0	0	0	1	0		
10120302	14	1	2	0	0	0	0	1	0		
10120303	14	0	1	0	0	0	0	1	0		
10120401	14	0	2	0	0	0	0	1	0		
10120501	14	1	2	0	0	0	0	1	0		
10120601	0		0	0	0	0	0	1	0		
10120701	14	1	1	0	0	0	0	1	0		
10120702	1	F03	1	0	0	0	0	1	0		
10120703	14	0	2	0	0	0	0	1	0		
10120801	14	0	1	0	0	0	0	1	0		
10120901	14	1	2	0	0	0	0	1	0		
10120902	1	F05	2	0	0	0	0	1	0		
10121001	1	A00	2	0	0	0	0	1	0		
10121101	14	0	2	0	0	0	0	1	0		
10121201	0		0	0	0	0	0	1	0		
10121301	0		0	0	0	0	0	1	0		
10121401	14	1	1	0	0	0	0	1	0		
10121402	1	F07	1	0	0	0	0	1	0		
